date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	Belgium	1.8795594079545047e-05	44.98	0.17	1.09	1.0	11419165.5284564
2020-02-05	Belgium	2.2377291875069404e-05	43.88	0.17	0.95	0.0	11419165.5284564
2020-02-06	Belgium	2.5939723814480913e-05	42.79	0.17	0.87	0.0	11419165.5284564
2020-02-07	Belgium	2.9506534357554436e-05	41.8	0.29	0.85	0.0	11419165.5284564
2020-02-08	Belgium	3.3111000892121245e-05	41.18	0.1	0.85	0.0	11419165.5284564
2020-02-09	Belgium	3.678990368894223e-05	40.9	0.03	0.86	0.0	11419165.5284564
2020-02-10	Belgium	3.67356090035333e-05	40.68	0.03	0.87	0.0	11419165.5284564
2020-02-11	Belgium	3.722250973074884e-05	40.73	0.03	0.89	0.0	11419165.5284564
2020-02-12	Belgium	3.8593888397690436e-05	41.16	0.03	0.92	0.0	11419165.5284564
2020-02-13	Belgium	4.1542440103688115e-05	42.01	0.03	0.96	0.0	11419165.5284564
2020-02-14	Belgium	4.744392211934548e-05	44.36	0.03	1.03	0.0	11419165.5284564
2020-02-15	Belgium	5.826432748890512e-05	49.44	0.03	1.17	0.0	11419165.5284564
2020-02-16	Belgium	7.598190934686326e-05	58.45	0.03	1.41	0.0	11419165.5284564
2020-02-17	Belgium	0.00010211954604686703	75.47	0.03	1.84	0.0	11419165.5284564
2020-02-18	Belgium	0.00013773072962999612	108.57	0.03	2.68	0.0	11419165.5284564
2020-02-19	Belgium	0.00018315611546115487	164.46	0.03	4.09	0.0	11419165.5284564
2020-02-20	Belgium	0.00023771439281053457	243.0	0.03	5.95	0.0	11419165.5284564
2020-02-21	Belgium	0.00030081182302156654	339.2	0.03	7.93	0.0	11419165.5284564
2020-02-22	Belgium	0.00037403783922356057	447.81	0.03	9.58	0.0	11419165.5284564
2020-02-23	Belgium	0.00046066063118984106	560.73	0.03	10.5	0.0	11419165.5284564
2020-02-24	Belgium	0.0005635998518422365	667.37	0.03	10.48	0.0	11419165.5284564
2020-02-25	Belgium	0.0006853145249973315	769.96	0.03	9.6	0.0	11419165.5284564
2020-02-26	Belgium	0.0008274475027491128	894.63	0.03	8.28	0.0	11419165.5284564
