date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	Bulgaria	0.0	0.0	0.0			6934624.60625778
2020-02-05	Bulgaria	0.0	0.0	0.0			6934624.60625778
2020-02-06	Bulgaria	3.691620160217274e-07	0.0	0.0			6934624.60625778
2020-02-07	Bulgaria	1.8861871756110136e-06	0.0	0.0			6934624.60625778
2020-02-08	Bulgaria	4.339095727380383e-06	0.0	0.0			6934624.60625778
2020-02-09	Bulgaria	8.6176258115072e-06	0.0	0.0			6934624.60625778
2020-02-10	Bulgaria	1.5399535816781358e-05	2.56	0.0	inf		6934624.60625778
2020-02-11	Bulgaria	2.415992350167196e-05	10.52	0.0	inf		6934624.60625778
2020-02-12	Bulgaria	3.476900534492137e-05	17.01	0.0	inf		6934624.60625778
2020-02-13	Bulgaria	4.678119125687836e-05	29.67	0.0	inf		6934624.60625778
2020-02-14	Bulgaria	5.9093321306853e-05	47.03	0.0	inf		6934624.60625778
2020-02-15	Bulgaria	7.135497998744968e-05	60.75	0.0	inf		6934624.60625778
2020-02-16	Bulgaria	8.310327273951613e-05	73.57	0.0	inf		6934624.60625778
2020-02-17	Bulgaria	9.342250471862349e-05	83.3	0.0	inf		6934624.60625778
2020-02-18	Bulgaria	0.00010242659701565344	85.38	0.0	inf		6934624.60625778
2020-02-19	Bulgaria	0.0001092258114904286	85.03	0.0	inf		6934624.60625778
2020-02-20	Bulgaria	0.00011313950567590896	84.03	0.0	inf		6934624.60625778
2020-02-21	Bulgaria	0.00011509491072952401	82.08	0.0	inf		6934624.60625778
2020-02-22	Bulgaria	0.00011750167402929067	79.45	0.0	inf		6934624.60625778
2020-02-23	Bulgaria	0.00012428358403456484	76.82	0.0	inf		6934624.60625778
2020-02-24	Bulgaria	0.00013710763797394461	74.17	0.0	inf		6934624.60625778
2020-02-25	Bulgaria	0.00015640788962408057	74.31	0.18	inf		6934624.60625778
2020-02-26	Bulgaria	0.00018381240115719348	90.26	0.35	1.09		6934624.60625778
2020-02-27	Bulgaria	0.00021879482829262743	130.33	0.5	1.62		6934624.60625778
2020-02-28	Bulgaria	0.00026074230440222126	174.31	0.67	2.19		6934624.60625778
2020-02-29	Bulgaria	0.00031023885533163447	218.87	0.87	2.8		6934624.60625778
2020-03-01	Bulgaria	0.00036829823458580155	274.07	0.9	3.6		6934624.60625778
2020-03-02	Bulgaria	0.0004348036369955908	324.67	0.92	4.4		6934624.60625778
2020-03-03	Bulgaria	0.0005065926707596911	370.34	0.9	5.01		6934624.60625778
2020-03-04	Bulgaria	0.0005791618476904622	420.06	0.88	5.45		6934624.60625778
2020-03-05	Bulgaria	0.0006502716810266475	476.79	0.89	5.29		6934624.60625778
2020-03-06	Bulgaria	0.000718224890718022	535.5	0.88	4.69		6934624.60625778
2020-03-07	Bulgaria	0.0007800278035409094	588.09	0.85	3.85		6934624.60625778
2020-03-08	Bulgaria	0.000834441707886862	633.57	0.83	3.29	4.0	6934624.60625778
2020-03-09	Bulgaria	0.000880946027631724	667.43	0.86	2.63	0.0	6934624.60625778
2020-03-10	Bulgaria	0.0009186351622049423	690.1	1.01	2.13	0.0	6934624.60625778
2020-03-11	Bulgaria	0.0009472668490335025	702.65	2.26	1.88	3.0	6934624.60625778
2020-03-12	Bulgaria	0.0009680841258432277	702.01	6.32	1.66	0.0	6934624.60625778
2020-03-13	Bulgaria	0.000983023651179107	692.83	6.82	1.45	16.0	6934624.60625778
2020-03-14	Bulgaria	0.0009935490947531012	681.42	7.96	1.27	18.0	6934624.60625778
2020-03-15	Bulgaria	0.0010003872442842538	675.34	10.6	1.14	10.0	6934624.60625778
2020-03-16	Bulgaria	0.001003755847680452	679.86	12.32	1.07	1.0	6934624.60625778
2020-03-17	Bulgaria	0.0010046470278597547	691.69	13.67	1.03	15.0	6934624.60625778
2020-03-18	Bulgaria	0.0010039851319013408	706.56	16.17	1.02	25.0	6934624.60625778
2020-03-19	Bulgaria	0.001002018190534725	714.85	18.46	1.02	2.0	6934624.60625778
2020-03-20	Bulgaria	0.0009991586269496816	713.46	20.39	1.02	33.0	6934624.60625778
2020-03-21	Bulgaria	0.0009946652330359172	708.83	21.46	1.03	36.0	6934624.60625778
2020-03-22	Bulgaria	0.0009871305786073486	697.42	21.53	1.03	24.0	6934624.60625778
2020-03-23	Bulgaria	0.0009758422963361842	679.19	22.89	1.0	14.0	6934624.60625778
2020-03-24	Bulgaria	0.0009603850789543995	661.59	24.03	0.97	17.0	6934624.60625778
2020-03-25	Bulgaria	0.0009422240382130806	644.18	23.89	0.93	24.0	6934624.60625778
2020-03-26	Bulgaria	0.0009241250051541404	627.61	23.39	0.89	22.0	6934624.60625778
2020-03-27	Bulgaria	0.0009088235279978648	613.41	22.67	0.86	29.0	6934624.60625778
2020-03-28	Bulgaria	0.000899805015309584	599.37	24.24	0.85	38.0	6934624.60625778
2020-03-29	Bulgaria	0.0008993666354155581	588.91	25.82	0.84	15.0	6934624.60625778
2020-03-30	Bulgaria	0.0009078818764491843	587.95	26.67	0.85	13.0	6934624.60625778
2020-03-31	Bulgaria	0.0009255641602009751	602.72	27.53	0.9	40.0	6934624.60625778
2020-04-01	Bulgaria	0.0009519736647377795	634.88	26.03	0.98	23.0	6934624.60625778
2020-04-02	Bulgaria	0.0009863057322278001	676.15	25.53	1.07	35.0	6934624.60625778
2020-04-03	Bulgaria	0.0010292337949424518	720.64	26.82	1.16	28.0	6934624.60625778
2020-04-04	Bulgaria	0.0010820354995465594	766.8	26.32	1.26	18.0	6934624.60625778
2020-04-05	Bulgaria	0.0011432269877804109	810.75	24.96	1.36	28.0	6934624.60625778
2020-04-06	Bulgaria	0.0012090575158796605	851.49	23.74	1.45	18.0	6934624.60625778
2020-04-07	Bulgaria	0.0012768232604847736	897.06	22.24	1.51	28.0	6934624.60625778
2020-04-08	Bulgaria	0.0013432810756034352	955.07	22.03	1.55	16.0	6934624.60625778
2020-04-09	Bulgaria	0.0014046528187279224	1012.29	21.6	1.55	25.0	6934624.60625778
2020-04-10	Bulgaria	0.0014580818103514417	1059.23	20.03	1.53	17.0	6934624.60625778
2020-04-11	Bulgaria	0.0015002008891169206	1104.81	19.46	1.51	26.0	6934624.60625778
2020-04-12	Bulgaria	0.0015297295242812838	1137.01	20.74	1.47	14.0	6934624.60625778
2020-04-13	Bulgaria	0.0015465696571840249	1146.23	24.03	1.4	10.0	6934624.60625778
2020-04-14	Bulgaria	0.0015488927822145367	1137.31	28.1	1.32	28.0	6934624.60625778
2020-04-15	Bulgaria	0.0015392729392110956	1102.83	30.6	1.21	34.0	6934624.60625778
2020-04-16	Bulgaria	0.001523225927827151	1056.26	31.17	1.1	53.0	6934624.60625778
2020-04-17	Bulgaria	0.0015022471426354165	1013.84	33.1	1.0	46.0	6934624.60625778
2020-04-18	Bulgaria	0.0014787433469356582	971.18	36.17	0.91	32.0	6934624.60625778
2020-04-19	Bulgaria	0.0014571041078246343	945.58	38.53	0.86	16.0	6934624.60625778
2020-04-20	Bulgaria	0.0014397981962844908	947.95	41.03	0.84	35.0	6934624.60625778
2020-04-21	Bulgaria	0.001428806974073094	959.33	48.96	0.84	46.0	6934624.60625778
2020-04-22	Bulgaria	0.001423439704449528	974.02	54.1	0.87	49.0	6934624.60625778
2020-04-23	Bulgaria	0.0014203652770348471	996.17	55.39	0.93	73.0	6934624.60625778
2020-04-24	Bulgaria	0.0014173499732242948	1017.3	60.03	0.99	137.0	6934624.60625778
2020-04-25	Bulgaria	0.0014106012301188977	1026.61	61.32	1.03	13.0	6934624.60625778
2020-04-26	Bulgaria	0.0013957914883042759	1019.04	60.53	1.06	53.0	6934624.60625778
2020-04-27	Bulgaria	0.0013729596828368068	992.52	59.46	1.05	63.0	6934624.60625778
2020-04-28	Bulgaria	0.0013435824617805776	950.27	52.17	1.0	36.0	6934624.60625778
2020-04-29	Bulgaria	0.0013079453488823555	898.78	47.74	0.93	48.0	6934624.60625778
2020-04-30	Bulgaria	0.0012681292065996371	845.25	47.53	0.86	59.0	6934624.60625778
2020-05-01	Bulgaria	0.0012278544958751415	801.0	43.39	0.8	49.0	6934624.60625778
2020-05-02	Bulgaria	0.001190667190917453	770.3	42.46	0.76	39.0	6934624.60625778
2020-05-03	Bulgaria	0.00116062518982456	749.04	45.46	0.74	24.0	6934624.60625778
2020-05-04	Bulgaria	0.0011400891106442261	741.19	46.74	0.74	34.0	6934624.60625778
2020-05-05	Bulgaria	0.0011283927313006628	747.32	45.74	0.78	52.0	6934624.60625778
2020-05-06	Bulgaria	0.0011240637298471582	761.16	46.03	0.83	74.0	6934624.60625778
2020-05-07	Bulgaria	0.0011233816453409928	784.19	48.17	0.91	51.0	6934624.60625778
2020-05-08	Bulgaria	0.00112104121584098	807.86	48.96	0.98	43.0	6934624.60625778
2020-05-09	Bulgaria	0.0011136796061074219	817.67	46.96	1.04	49.0	6934624.60625778
2020-05-10	Bulgaria	0.0010981099096738806	815.23	43.6	1.07	44.0	6934624.60625778
2020-05-11	Bulgaria	0.0010721359009528517	796.27	40.17	1.06	25.0	6934624.60625778
2020-05-12	Bulgaria	0.0010369573564964062	754.07	38.39	1.02	33.0	6934624.60625778
2020-05-13	Bulgaria	0.0009946075514709139	697.99	37.17	0.94	46.0	6934624.60625778
2020-05-14	Bulgaria	0.0009485185389940762	633.22	35.74	0.83	31.0	6934624.60625778
2020-05-15	Bulgaria	0.0009046762234741208	567.2	35.1	0.73	38.0	6934624.60625778
2020-05-16	Bulgaria	0.0008688170365506352	517.21	34.39	0.65	37.0	6934624.60625778
2020-05-17	Bulgaria	0.0008466269384938292	490.51	32.82	0.61	36.0	6934624.60625778
2020-05-18	Bulgaria	0.0008432006535326275	488.25	32.46	0.62	24.0	6934624.60625778
2020-05-19	Bulgaria	0.0008615332969298316	513.64	33.24	0.68	24.0	6934624.60625778
2020-05-20	Bulgaria	0.0009042753365973471	566.56	33.39	0.81	33.0	6934624.60625778
2020-05-21	Bulgaria	0.0009717396950253177	642.39	32.1	1.02	39.0	6934624.60625778
2020-05-22	Bulgaria	0.001060534696191544	730.31	29.6	1.28	41.0	6934624.60625778
2020-05-23	Bulgaria	0.0011658583498094929	825.12	27.32	1.58	36.0	6934624.60625778
2020-05-24	Bulgaria	0.0012807585852571304	929.62	25.17	1.87	19.0	6934624.60625778
2020-05-25	Bulgaria	0.0013965990302143233	1035.04	22.46	2.12	6.0	6934624.60625778
2020-05-26	Bulgaria	0.0015060324953387642	1132.97	18.53	2.27	10.0	6934624.60625778
2020-05-27	Bulgaria	0.0016038027480195186	1220.89	14.6	2.31	17.0	6934624.60625778
2020-05-28	Bulgaria	0.0016880567679808522	1285.04	12.67	2.22	17.0	6934624.60625778
2020-05-29	Bulgaria	0.001759307921151296	1316.95	12.32	2.03	8.0	6934624.60625778
2020-05-30	Bulgaria	0.0018174004673053399	1325.44	12.96	1.8	14.0	6934624.60625778
2020-05-31	Bulgaria	0.0018633265293610433	1320.39	13.96	1.59	14.0	6934624.60625778
2020-06-01	Bulgaria	0.0018991323608369005	1314.58	14.89	1.4	6.0	6934624.60625778
2020-06-02	Bulgaria	0.0019263580595185032	1319.22	17.89	1.26	19.0	6934624.60625778
2020-06-03	Bulgaria	0.0019488192609308252	1332.47	25.32	1.16	22.0	6934624.60625778
2020-06-04	Bulgaria	0.0019717116320415473	1353.52	30.46	1.1	25.0	6934624.60625778
2020-06-05	Bulgaria	0.0019983417685644897	1381.27	36.1	1.07	42.0	6934624.60625778
2020-06-06	Bulgaria	0.002030114216607485	1409.69	45.89	1.07	84.0	6934624.60625778
2020-06-07	Bulgaria	0.002065992150039596	1440.8	56.03	1.09	16.0	6934624.60625778
2020-06-08	Bulgaria	0.0021041110122720897	1475.7	66.74	1.12	83.0	6934624.60625778
2020-06-09	Bulgaria	0.0021439776259241858	1510.11	76.1	1.15	79.0	6934624.60625778
2020-06-10	Bulgaria	0.002185110349928107	1540.72	79.96	1.16	104.0	6934624.60625778
2020-06-11	Bulgaria	0.0022272150083023352	1563.38	79.89	1.17	93.0	6934624.60625778
2020-06-12	Bulgaria	0.0022711077951916687	1583.56	78.17	1.16	105.0	6934624.60625778
