date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	Denmark	1.6392274649232815e-05	12.34	0.0	inf		5802733.42384803
2020-02-05	Denmark	2.0542043084404453e-05	15.99	0.0	inf		5802733.42384803
2020-02-06	Denmark	2.471766140600781e-05	20.21	0.0	inf		5802733.42384803
2020-02-07	Denmark	2.897599936419266e-05	22.86	0.0	inf		5802733.42384803
2020-02-08	Denmark	3.34480297168797e-05	23.72	0.0	inf		5802733.42384803
2020-02-09	Denmark	3.829746841146981e-05	24.08	0.0	inf		5802733.42384803
2020-02-10	Denmark	4.1647613693020334e-05	24.23	0.0	inf		5802733.42384803
2020-02-11	Denmark	4.529244767989243e-05	24.71	0.0	inf		5802733.42384803
2020-02-12	Denmark	4.978860459324909e-05	25.95	0.0	inf		5802733.42384803
2020-02-13	Denmark	5.6342412466570403e-05	28.14	0.0	inf		5802733.42384803
2020-02-14	Denmark	6.567249814265814e-05	31.78	0.0	inf		5802733.42384803
2020-02-15	Denmark	7.846302194907171e-05	37.14	0.1	inf		5802733.42384803
2020-02-16	Denmark	9.61391742910798e-05	46.3	0.2	1.95		5802733.42384803
2020-02-17	Denmark	0.00012022437514239159	60.89	0.3	2.54		5802733.42384803
2020-02-18	Denmark	0.00015491319940799374	77.86	0.42	3.18		5802733.42384803
2020-02-19	Denmark	0.00020962534570360383	98.3	0.57	3.86		5802733.42384803
2020-02-20	Denmark	0.0002957571672940849	126.8	0.59	4.7		5802733.42384803
2020-02-21	Denmark	0.0004229248219320357	164.47	0.6	5.61		5802733.42384803
2020-02-22	Denmark	0.0005967825414429538	227.24	0.6	6.83		5802733.42384803
2020-02-23	Denmark	0.0008148539067066806	345.62	0.6	8.7		5802733.42384803
2020-02-24	Denmark	0.001067638222796679	531.58	0.61	10.44		5802733.42384803
2020-02-25	Denmark	0.0013438270260619542	775.06	0.67	11.82		5802733.42384803
2020-02-26	Denmark	0.0016296991967845505	1055.15	0.77	12.9		5802733.42384803
2020-02-27	Denmark	0.001912290155256081	1326.3	0.92	13.22	1.0	5802733.42384803
2020-02-28	Denmark	0.002182467998263101	1544.7	1.11	12.4	0.0	5802733.42384803
