date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	Germany	1.2605098051891312e-05	204.89	0.89		0.0	84914055.85214
2020-02-05	Germany	1.5217386415389729e-05	212.22	0.74		0.0	84914055.85214
2020-02-06	Germany	1.78695974979949e-05	216.11	0.6		1.0	84914055.85214
2020-02-07	Germany	2.057174142101677e-05	217.78	0.46		1.0	84914055.85214
2020-02-08	Germany	2.3339598846285157e-05	219.35	0.32		0.0	84914055.85214
2020-02-09	Germany	2.6322261698251817e-05	221.82	0.46		0.0	84914055.85214
2020-02-10	Germany	2.7290652610389924e-05	225.21	0.53		0.0	84914055.85214
2020-02-11	Germany	2.8466429682843632e-05	229.45	0.39		0.0	84914055.85214
2020-02-12	Germany	2.9874559335821297e-05	235.03	2.15		2.0	84914055.85214
2020-02-13	Germany	3.1703231849950023e-05	253.27	3.89		0.0	84914055.85214
2020-02-14	Germany	3.396787458866045e-05	287.12	5.57		0.0	84914055.85214
2020-02-15	Germany	3.694453136784114e-05	312.06	7.73		0.0	84914055.85214
2020-02-16	Germany	4.116044116519394e-05	335.68	10.3		0.0	84914055.85214
2020-02-17	Germany	4.687410064278174e-05	373.06	10.99		0.0	84914055.85214
2020-02-18	Germany	5.4279706154017625e-05	411.65	11.55		0.0	84914055.85214
2020-02-19	Germany	6.352222780869632e-05	474.58	12.13		0.0	84914055.85214
2020-02-20	Germany	7.461002700226496e-05	583.2	12.8		0.0	84914055.85214
2020-02-21	Germany	8.809566243103292e-05	714.62	13.56		0.0	84914055.85214
2020-02-22	Germany	0.00010468219790935802	863.87	14.41		0.0	84914055.85214
2020-02-23	Germany	0.00012484470201799732	1038.09	15.38		0.0	84914055.85214
2020-02-24	Germany	0.0001494043580027661	1228.63	16.45		0.0	84914055.85214
2020-02-25	Germany	0.00017904833125005935	1457.18	17.69		2.0	84914055.85214
2020-02-26	Germany	0.0002140361783171374	1744.11	18.92		3.0	84914055.85214
2020-02-27	Germany	0.0002549175137469833	2085.14	25.91		5.0	84914055.85214
2020-02-28	Germany	0.00030284138169984635	2497.11	17.27		27.0	84914055.85214
2020-02-29	Germany	0.0003593058851543609	2991.77	22.19		13.0	84914055.85214
2020-03-01	Germany	0.00042547655552940453	3554.16	30.05		51.0	84914055.85214
2020-03-02	Germany	0.000501801610727397	4186.02	44.91		33.0	84914055.85214
2020-03-03	Germany	0.0005888882529303867	4933.28	69.69		38.0	84914055.85214
2020-03-04	Germany	0.0006876033586438156	5832.72	95.17		77.0	84914055.85214
2020-03-05	Germany	0.0007982069554894763	6847.45	109.3		139.0	84914055.85214
2020-03-06	Germany	0.0009206480507317543	7938.25	128.4		240.0	84914055.85214
2020-03-07	Germany	0.0010549978928811503	9138.99	151.34		156.67	84914055.85214
2020-03-08	Germany	0.0012009752564119212	10467.44	173.05		105.17	84914055.85214
2020-03-09	Germany	0.0013567297998414547	11888.91	234.48		246.17	84914055.85214
2020-03-10	Germany	0.0015185501234864205	13388.74	314.27		146.0	84914055.85214
2020-03-11	Germany	0.0016829055986777317	14962.35	387.58		273.0	84914055.85214
2020-03-12	Germany	0.0018472767367647396	16581.55	495.18		803.0	84914055.85214
2020-03-13	Germany	0.0020089638669132165	18159.03	625.54		693.0	84914055.85214
2020-03-14	Germany	0.002165402160511287	19573.54	775.88		730.0	84914055.85214
2020-03-15	Germany	0.0023149928245365507	20803.54	905.72		1038.33	84914055.85214
2020-03-16	Germany	0.0024563356196669467	21895.67	1091.77		1138.0	84914055.85214
2020-03-17	Germany	0.0025869910204561718	22868.5	1396.77		1359.0	84914055.85214
2020-03-18	Germany	0.002703569835360943	23751.25	1699.84		877.67	84914055.85214
2020-03-19	Germany	0.0028034989921400695	24591.26	1906.53		2803.0	84914055.85214
2020-03-20	Germany	0.0028856562973116387	25390.73	2181.36		2963.0	84914055.85214
2020-03-21	Germany	0.0029490526331240963	26056.83	2633.65		2703.0	84914055.85214
2020-03-22	Germany	0.0029923415793781847	26480.73	3108.6		1959.0	84914055.85214
2020-03-23	Germany	0.0030144823189899366	26644.42	3493.77		4065.0	84914055.85214
2020-03-24	Germany	0.003015146755512652	26549.85	3849.19		4764.0	84914055.85214
2020-03-25	Germany	0.002994179437650692	26186.78	4307.77		4122.0	84914055.85214
2020-03-26	Germany	0.002951542798007613	25571.51	4725.02		4951.0	84914055.85214
2020-03-27	Germany	0.002888617762259655	24748.56	4917.59		5791.0	84914055.85214
2020-03-28	Germany	0.002808387228791051	23807.67	4938.98		6295.0	84914055.85214
2020-03-29	Germany	0.0027144197469657332	22810.84	5023.69		4208.5	84914055.85214
2020-03-30	Germany	0.0026105741596656215	21770.28	5204.84		4511.5	84914055.85214
2020-03-31	Germany	0.002500957914079521	20713.61	5318.34		4617.0	84914055.85214
2020-04-01	Germany	0.0023899232931868675	19668.03	5330.34		5455.0	84914055.85214
2020-04-02	Germany	0.002281333261684237	18665.26	5438.59		6154.0	84914055.85214
