date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	Mexico	0.00031815643030809357	5348.97	0.96		0.0	124940174.748336
2020-02-05	Mexico	0.0003677058247480309	5419.6	0.96		0.0	124940174.748336
2020-02-06	Mexico	0.0004176554107204414	5514.78	0.96		0.0	124940174.748336
2020-02-07	Mexico	0.0004677021631969364	5622.29	0.96		0.0	124940174.748336
2020-02-08	Mexico	0.000518043856832864	5796.37	0.96		0.0	124940174.748336
2020-02-09	Mexico	0.0005690548307876999	5964.16	0.96		0.0	124940174.748336
2020-02-10	Mexico	0.0006211129459064049	6084.35	0.96		0.0	124940174.748336
2020-02-11	Mexico	0.0006744782466467802	6190.71	0.96		0.0	124940174.748336
2020-02-12	Mexico	0.0006863961905987501	6240.71	0.96		0.0	124940174.748336
2020-02-13	Mexico	0.0006990074263615765	6252.85	0.96		0.0	124940174.748336
2020-02-14	Mexico	0.000711940176001592	6289.7	0.96		0.0	124940174.748336
2020-02-15	Mexico	0.0007250640571175166	6373.32	0.96		0.0	124940174.748336
2020-02-16	Mexico	0.0007381460781991445	6504.15	1.03		0.0	124940174.748336
2020-02-17	Mexico	0.0007516494209261601	6667.47	1.1		0.0	124940174.748336
2020-02-18	Mexico	0.0007664880427204255	6838.0	1.1		0.0	124940174.748336
2020-02-19	Mexico	0.0007838123341611882	6995.25	1.25		1.0	124940174.748336
2020-02-20	Mexico	0.000805401226648598	7130.6	1.46		0.0	124940174.748336
2020-02-21	Mexico	0.0008326399431531571	7261.99	1.53		0.0	124940174.748336
2020-02-22	Mexico	0.0008661757534594876	7430.84	1.6		2.0	124940174.748336
2020-02-23	Mexico	0.0009064218153057152	7651.27	1.67		1.0	124940174.748336
2020-02-24	Mexico	0.0009535409266072495	7938.29	1.82		0.0	124940174.748336
2020-02-25	Mexico	0.0010075045937269788	8355.21	2.17		1.0	124940174.748336
2020-02-26	Mexico	0.0010685443674855917	8938.03	2.6		1.0	124940174.748336
2020-02-27	Mexico	0.0011373025552927078	9656.06	3.53		2.0	124940174.748336
2020-02-28	Mexico	0.0012143982534490634	10479.67	5.6		3.0	124940174.748336
2020-02-29	Mexico	0.001300052847910422	11401.67	8.25		5.0	124940174.748336
2020-03-01	Mexico	0.0013942858680235685	12391.22	10.53		11.0	124940174.748336
2020-03-02	Mexico	0.0014969433200868075	13409.7	12.25		19.0	124940174.748336
2020-03-03	Mexico	0.0016076719150152714	14464.32	13.89		19.0	124940174.748336
2020-03-04	Mexico	0.0017260328027744504	15585.91	16.0		15.0	124940174.748336
2020-03-05	Mexico	0.0018513775930434314	16762.95	18.42		12.0	124940174.748336
2020-03-06	Mexico	0.001983353396928879	17963.69	23.25		16.0	124940174.748336
2020-03-07	Mexico	0.0021223301514834126	19204.33	29.75		21.5	124940174.748336
2020-03-08	Mexico	0.002268741424213313	20477.31	36.17		28.5	124940174.748336
2020-03-09	Mexico	0.0024230476754958435	21772.74	45.6		69.0	124940174.748336
2020-03-10	Mexico	0.002586620041559564	23143.24	58.32		60.0	124940174.748336
2020-03-11	Mexico	0.0027607897195180927	24598.63	71.14		64.0	124940174.748336
2020-03-12	Mexico	0.0029452515233087655	26145.14	83.64		95.0	124940174.748336
2020-03-13	Mexico	0.0031391363169613585	27843.45	95.67		111.0	124940174.748336
2020-03-14	Mexico	0.0033418072356710925	29694.32	107.53		106.0	124940174.748336
2020-03-15	Mexico	0.003552620531338832	31670.27	120.25		119.0	124940174.748336
2020-03-16	Mexico	0.003771934295347834	33846.46	129.75		147.0	124940174.748336
2020-03-17	Mexico	0.004000512973563428	36225.11	141.1		148.0	124940174.748336
2020-03-18	Mexico	0.004239655987891556	38632.6	153.1		154.0	124940174.748336
2020-03-19	Mexico	0.004492766006856222	40986.95	161.17		138.0	124940174.748336
2020-03-20	Mexico	0.0047627060006807396	43285.43	173.82		227.0	124940174.748336
2020-03-21	Mexico	0.005050566411252792	45543.38	186.46		158.0	124940174.748336
2020-03-22	Mexico	0.005358220935327418	47878.41	197.75		180.0	124940174.748336
2020-03-23	Mexico	0.005686814760993943	50331.4	216.1		263.0	124940174.748336
2020-03-24	Mexico	0.0060350658346589375	53021.81	234.25		209.0	124940174.748336
2020-03-25	Mexico	0.00640119546503717	56222.24	251.89		251.0	124940174.748336
2020-03-26	Mexico	0.006783949531904176	59871.49	271.6		298.0	124940174.748336
2020-03-27	Mexico	0.007183606568566557	63808.78	292.1		321.0	124940174.748336
2020-03-28	Mexico	0.007602231643370181	68132.73	313.03		311.0	124940174.748336
2020-03-29	Mexico	0.00804165203085232	72724.84	343.1		303.0	124940174.748336
2020-03-30	Mexico	0.00850115386935735	77357.01	377.25		427.0	124940174.748336
2020-03-31	Mexico	0.008976768139304508	81969.41	403.25		338.0	124940174.748336
2020-04-01	Mexico	0.009462590975091828	86453.96	428.96		543.0	124940174.748336
2020-04-02	Mexico	0.009951308636348445	90920.17	455.25		484.0	124940174.748336
2020-04-03	Mexico	0.010435771061040277	95588.52	484.96		499.0	124940174.748336
2020-04-04	Mexico	0.010910080706591573	100444.64	517.75		493.0	124940174.748336
2020-04-05	Mexico	0.011367996986244943	105288.65	546.03		489.0	124940174.748336
2020-04-06	Mexico	0.01180542818169577	109754.73	573.75		657.0	124940174.748336
2020-04-07	Mexico	0.0122218337942603	113720.6	630.82		567.0	124940174.748336
2020-04-08	Mexico	0.012620429042748722	117282.71	694.6		710.0	124940174.748336
2020-04-09	Mexico	0.013009386558598898	120400.31	744.46		705.0	124940174.748336
2020-04-10	Mexico	0.013393448691508946	123069.11	801.46		1077.0	124940174.748336
2020-04-11	Mexico	0.013770867244788406	125344.87	863.46		808.0	124940174.748336
2020-04-12	Mexico	0.01414047990215037	127377.57	930.17		872.0	124940174.748336
2020-04-13	Mexico	0.014502036463848724	129382.8	997.39		1072.0	124940174.748336
2020-04-14	Mexico	0.014855961613137732	131769.97	1049.17		1020.0	124940174.748336
2020-04-15	Mexico	0.015203114481199317	135050.38	1111.1		1191.0	124940174.748336
2020-04-16	Mexico	0.01554313601619053	138904.96	1181.75		1165.0	124940174.748336
2020-04-17	Mexico	0.015878858453625	142743.26	1281.32		1342.0	124940174.748336
2020-04-18	Mexico	0.016218486920493023	146624.11	1378.39		1410.0	124940174.748336
2020-04-19	Mexico	0.01656883539797971	150461.59	1421.03		1259.0	124940174.748336
2020-04-20	Mexico	0.016931804395672774	153974.2	1460.53		2079.0	124940174.748336
2020-04-21	Mexico	0.01730821222521782	157093.94	1511.75		1372.0	124940174.748336
2020-04-22	Mexico	0.017694550887679496	159765.06	1570.03		1436.0	124940174.748336
2020-04-23	Mexico	0.018081269091790565	162345.53	1625.17		1473.0	124940174.748336
2020-04-24	Mexico	0.018460587914542824	165502.35	1644.53		1751.0	124940174.748336
2020-04-25	Mexico	0.01882864086542612	169117.47	1664.25		1817.0	124940174.748336
2020-04-26	Mexico	0.019186116193838008	172726.98	1700.25		1624.0	124940174.748336
2020-04-27	Mexico	0.019538650357398452	176411.26	1757.82		1985.0	124940174.748336
2020-04-28	Mexico	0.01989326759792372	180039.19	1894.82		1742.0	124940174.748336
2020-04-29	Mexico	0.020255979352499714	183367.02	2004.17		1570.0	124940174.748336
2020-04-30	Mexico	0.020629415359724616	186297.12	2050.82		2145.0	124940174.748336
2020-05-01	Mexico	0.0210118105348253	188727.86	2115.1		2997.0	124940174.748336
2020-05-02	Mexico	0.021395298633001165	191287.14	2211.39		2102.0	124940174.748336
2020-05-03	Mexico	0.021771751283997845	194507.27	2320.75		1992.0	124940174.748336
2020-05-04	Mexico	0.02213794982735797	198280.14	2397.67		2517.0	124940174.748336
2020-05-05	Mexico	0.02248867792653236	202411.21	2417.67		2558.0	124940174.748336
2020-05-06	Mexico	0.022820948792037558	206422.22	2447.25		2285.0	124940174.748336
2020-05-07	Mexico	0.023135165816938294	210122.05	2591.1		2507.0	124940174.748336
2020-05-08	Mexico	0.02343107327884532	213415.42	2749.6		2915.0	124940174.748336
2020-05-09	Mexico	0.023717021654313518	216151.53	2825.67		2598.0	124940174.748336
2020-05-10	Mexico	0.024003650275348617	218479.89	2891.32		3510.0	124940174.748336
2020-05-11	Mexico	0.024290854371807415	220231.29	2957.53		3218.0	124940174.748336
2020-05-12	Mexico	0.024572773378811755	221553.17	3078.03		2922.0	124940174.748336
2020-05-13	Mexico	0.02484568847652699	222625.35	3210.82		2840.0	124940174.748336
2020-05-14	Mexico	0.025109552442352273	223267.85	3217.53		2879.0	124940174.748336
2020-05-15	Mexico	0.02536389224989623	224454.3	3270.67		4230.0	124940174.748336
2020-05-16	Mexico	0.02560469005621114	227098.57	3391.39		3142.0	124940174.748336
2020-05-17	Mexico	0.025824580496218427	230390.6	3559.53		3060.0	124940174.748336
2020-05-18	Mexico	0.026021931428772082	233503.15	3716.32		4412.0	124940174.748336
2020-05-19	Mexico	0.02620613879078641	236509.27	3725.89		3418.0	124940174.748336
2020-05-20	Mexico	0.026382021848772065	239389.43	3751.82		4698.0	124940174.748336
2020-05-21	Mexico	0.026551440773010297	241899.31	3822.46		3216.0	124940174.748336
2020-05-22	Mexico	0.02672242972866873	243500.74	3912.17		4027.0	124940174.748336
2020-05-23	Mexico	0.026893287501542816	243624.68	4002.39		3708.0	124940174.748336
2020-05-24	Mexico	0.02705452787150851	243136.95	3960.53		3483.0	124940174.748336
2020-05-25	Mexico	0.027201928017515142	243246.19	3957.89		5245.0	124940174.748336
2020-05-26	Mexico	0.02733216683007305	243528.03	4041.32		3848.0	124940174.748336
2020-05-27	Mexico	0.02744604509243869	243792.58	4080.39		3682.0	124940174.748336
2020-05-28	Mexico	0.027550897915210773	244631.24	4127.03		4195.0	124940174.748336
2020-05-29	Mexico	0.027655196632786986	245801.3	4267.03		4216.0	124940174.748336
2020-05-30	Mexico	0.02776896364190661	247243.97	4420.96		4066.0	124940174.748336
2020-05-31	Mexico	0.027899881259341883	248806.8	4499.25		3778.0	124940174.748336
2020-06-01	Mexico	0.02804700063096934	249775.21	4557.75		6910.0	124940174.748336
2020-06-02	Mexico	0.028201682902215783	250737.24	4662.6		4338.0	124940174.748336
2020-06-03	Mexico	0.028357420478533357	252489.76	4825.82		4288.0	124940174.748336
2020-06-04	Mexico	0.028510907457710608	254930.41	4937.75		4408.0	124940174.748336
2020-06-05	Mexico	0.02865476078620325	257714.81	4896.32		5471.0	124940174.748336
2020-06-06	Mexico	0.02878685752796981	259981.55	4841.89		5096.0	124940174.748336
2020-06-07	Mexico	0.028909500465126452	261518.07	5013.39		4315.0	124940174.748336
2020-06-08	Mexico	0.02902835374854719	262572.22	5172.96		5793.0	124940174.748336
2020-06-09	Mexico	0.0291639572086362	262985.91	5180.89		4693.0	124940174.748336
2020-06-10	Mexico	0.029327665079552815	262969.27	5151.82		6334.0	124940174.748336
2020-06-11	Mexico	0.029509320340126252	262604.3	5151.46		4596.0	124940174.748336
2020-06-12	Mexico	0.029697367219741432	262305.49	5271.1		5394.0	124940174.748336
2020-06-13	Mexico	0.029878905304234166	262567.0	5416.25		4766.0	124940174.748336
2020-06-14	Mexico	0.03004452601063769	263656.35	5343.1		4640.0	124940174.748336
2020-06-15	Mexico	0.030189556622580566	266717.53	5296.75		7143.0	124940174.748336
2020-06-16	Mexico	0.03030427320616843	271190.93	5397.32		5375.0	124940174.748336
2020-06-17	Mexico	0.03038768464705197	275185.8	5619.46		4628.0	124940174.748336
2020-06-18	Mexico	0.030452437077695647	278425.02	5825.67		5653.0	124940174.748336
2020-06-19	Mexico	0.030507259395767452	280396.21	5760.03		5745.0	124940174.748336
2020-06-20	Mexico	0.03055414247410313	280674.23	5677.53		7525.0	124940174.748336
2020-06-21	Mexico	0.030596912623982973	279638.22	5712.53		4768.0	124940174.748336
2020-06-22	Mexico	0.03063189104472556	276904.93	5798.67		6096.0	124940174.748336
2020-06-23	Mexico	0.030641812353083716	273407.35	5916.89		5267.0	124940174.748336
2020-06-24	Mexico	0.030613054909713416	271059.45	5832.67		5226.0	124940174.748336
2020-06-25	Mexico	0.030541337145447052	269453.81	5787.67		6261.0	124940174.748336
2020-06-26	Mexico	0.030429753101098776	268163.07	5947.03		6792.0	124940174.748336
2020-06-27	Mexico	0.030293169491908432	267910.71	6096.32		5299.0	124940174.748336
2020-06-28	Mexico	0.030148796874883255	268026.56	6445.67		6364.0	124940174.748336
2020-06-29	Mexico	0.030008008853452752	267957.1	6697.03		6731.0	124940174.748336
2020-06-30	Mexico	0.029879742504920107	267597.97	6701.75		6722.0	124940174.748336
2020-07-01	Mexico	0.029763439241944287	266225.37	6743.25		8662.0	124940174.748336
2020-07-02	Mexico	0.02964330870722851	264483.69	6796.39		6344.0	124940174.748336
2020-07-03	Mexico	0.029506839552816452	263331.43	6840.82		6775.0	124940174.748336
2020-07-04	Mexico	0.029347810161029365	262636.29	6865.39		5897.0	124940174.748336
2020-07-05	Mexico	0.029154077200044193	262048.14	6667.17		6510.0	124940174.748336
2020-07-06	Mexico	0.028921680054302353	260879.31	6466.1		7207.0	124940174.748336
2020-07-07	Mexico	0.028652918544502665	258876.4	6649.82		6590.0	124940174.748336
2020-07-08	Mexico	0.028347795552024154	256050.32	6858.6		6019.0	124940174.748336
2020-07-09	Mexico	0.028018261436332927	252403.33	6860.6		6172.0	124940174.748336
2020-07-10	Mexico	0.027677048291034623	248293.91	6885.39		9519.0	124940174.748336
