date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	Republic of Korea	3.702911475149672e-05	174.58	2.32	1.64	1.0	53398251.977387
2020-02-05	Republic of Korea	5.4154394440188665e-05	238.89	1.82	2.13	3.0	53398251.977387
2020-02-06	Republic of Korea	7.540733733578369e-05	350.32	1.6	3.04	4.0	53398251.977387
2020-02-07	Republic of Korea	0.00010127297804224164	509.66	1.6	4.33	1.0	53398251.977387
2020-02-08	Republic of Korea	0.00013259497713517606	703.84	1.74	5.83	0.0	53398251.977387
2020-02-09	Republic of Korea	0.00017028403858333478	914.46	1.53	7.29	1.0	53398251.977387
2020-02-10	Republic of Korea	0.00021166235937435408	1134.87	1.03	8.5	2.0	53398251.977387
2020-02-11	Republic of Korea	0.0002588672753904709	1381.18	0.67	9.19	1.0	53398251.977387
2020-02-12	Republic of Korea	0.00031073620175856465	1672.54	0.6	9.08	0.0	53398251.977387
2020-02-13	Republic of Korea	0.00036538106169210115	2012.53	0.6	8.26	0.0	53398251.977387
2020-02-14	Republic of Korea	0.0004202203100113173	2384.11	0.53	7.13	0.0	53398251.977387
2020-02-15	Republic of Korea	0.0004727879483899801	2759.55	0.46	5.91	0.0	53398251.977387
2020-02-16	Republic of Korea	0.0005205672277768865	3120.03	0.46	4.78	1.0	53398251.977387
2020-02-17	Republic of Korea	0.0005606505623569474	3427.6	5.67	3.89	1.0	53398251.977387
2020-02-18	Republic of Korea	0.0005903123947455946	3632.16	18.03	3.22	1.0	53398251.977387
2020-02-19	Republic of Korea	0.0006072798040979398	3721.48	41.53	2.7	0.0	53398251.977387
2020-02-20	Republic of Korea	0.0006104360871925881	3686.2	69.89	2.23	73.0	53398251.977387
2020-02-21	Republic of Korea	0.000599990988723144	3521.56	98.32	1.8	100.0	53398251.977387
2020-02-22	Republic of Korea	0.0005765801100200473	3256.43	124.96	1.41	229.0	53398251.977387
2020-02-23	Republic of Korea	0.0005418769141029834	2918.56	155.46	1.09	169.0	53398251.977387
2020-02-24	Republic of Korea	0.0004988052794552053	2552.65	206.6	0.84	231.0	53398251.977387
2020-02-25	Republic of Korea	0.0004503864660248539	2201.8	271.1	0.65	144.0	53398251.977387
2020-02-26	Republic of Korea	0.0003998868728707194	1869.93	346.46	0.52	284.0	53398251.977387
2020-02-27	Republic of Korea	0.0003506161588946485	1574.51	417.96	0.43	505.0	53398251.977387
2020-02-28	Republic of Korea	0.00030513227299837375	1332.21	474.03	0.37	571.0	53398251.977387
2020-02-29	Republic of Korea	0.00026529332844077143	1136.0	550.82	0.33	813.0	53398251.977387
2020-03-01	Republic of Korea	0.00023185609156724758	989.61	612.1	0.32	586.0	53398251.977387
2020-03-02	Republic of Korea	0.00020471231913413865	890.59	620.17	0.33	599.0	53398251.977387
2020-03-03	Republic of Korea	0.00018370938442243803	827.67	612.74	0.36	851.0	53398251.977387
2020-03-04	Republic of Korea	0.0001682401514529804	791.23	581.96	0.4	435.0	53398251.977387
2020-03-05	Republic of Korea	0.00015730028023308763	767.16	533.53	0.46	467.0	53398251.977387
2020-03-06	Republic of Korea	0.00014998861766845275	752.37	480.1	0.54	505.0	53398251.977387
2020-03-07	Republic of Korea	0.00014533191092634248	748.41	390.74	0.64	448.0	53398251.977387
2020-03-08	Republic of Korea	0.00014244885774952325	748.48	318.67	0.73	273.0	53398251.977387
2020-03-09	Republic of Korea	0.00014068194597795523	748.04	279.67	0.8	164.0	53398251.977387
