date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	Slovenia	9.256265948017319e-07	0.0	0.0			2074270.56523939
2020-02-05	Slovenia	2.2513938529812956e-06	0.0	0.0			2074270.56523939
2020-02-06	Slovenia	4.642595889552436e-06	0.0	0.0			2074270.56523939
2020-02-07	Slovenia	8.91879791866252e-06	0.33	0.0	inf		2074270.56523939
2020-02-08	Slovenia	1.4491841374864615e-05	1.59	0.0	inf		2074270.56523939
2020-02-09	Slovenia	2.1699194287513517e-05	2.75	0.0	inf		2074270.56523939
2020-02-10	Slovenia	3.0299808064212944e-05	4.96	0.0	inf		2074270.56523939
2020-02-11	Slovenia	3.972480802690766e-05	8.87	0.0	inf		2074270.56523939
2020-02-12	Slovenia	4.972832461135346e-05	11.56	0.0	inf		2074270.56523939
2020-02-13	Slovenia	5.992950104156421e-05	14.95	0.0	inf		2074270.56523939
2020-02-14	Slovenia	6.972089486470128e-05	17.84	0.0	inf		2074270.56523939
2020-02-15	Slovenia	7.898680275641445e-05	19.55	0.0	inf		2074270.56523939
2020-02-16	Slovenia	8.724512753191115e-05	20.75	0.0	inf		2074270.56523939
2020-02-17	Slovenia	9.376308147030669e-05	21.49	0.0	inf		2074270.56523939
2020-02-18	Slovenia	9.939397658868389e-05	21.9	0.0	inf		2074270.56523939
2020-02-19	Slovenia	0.00010562749318805181	21.97	0.0	inf		2074270.56523939
2020-02-20	Slovenia	0.00011444022972605995	22.09	0.0	inf		2074270.56523939
2020-02-21	Slovenia	0.00012682530640338103	22.39	0.0	inf		2074270.56523939
2020-02-22	Slovenia	0.0001446484393251623	23.24	0.3	inf		2074270.56523939
2020-02-23	Slovenia	0.0001699778254141639	27.88	0.63	1.42		2074270.56523939
2020-02-24	Slovenia	0.0002025916999653811	36.12	0.92	1.76		2074270.56523939
2020-02-25	Slovenia	0.00024187297858227965	45.24	1.38	2.15		2074270.56523939
2020-02-26	Slovenia	0.0002869635282759286	57.72	1.95	2.72		2074270.56523939
2020-02-27	Slovenia	0.00033544804215051725	74.03	2.16	3.44		2074270.56523939
2020-02-28	Slovenia	0.0003848533616480597	89.55	2.33	4.07		2074270.56523939
2020-02-29	Slovenia	0.00043212781158881897	103.45	2.5	4.56		2074270.56523939
2020-03-01	Slovenia	0.00047522247893742664	115.62	2.62	4.8		2074270.56523939
2020-03-02	Slovenia	0.0005140746910598597	122.96	2.68	4.49		2074270.56523939
2020-03-03	Slovenia	0.0005483614428423072	125.72	2.72	3.84		2074270.56523939
2020-03-04	Slovenia	0.0005779863148478106	125.94	2.85	3.03		2074270.56523939
2020-03-05	Slovenia	0.0006046607520823834	125.51	3.11	2.36	2.0	2074270.56523939
2020-03-06	Slovenia	0.0006302456496793251	125.83	3.5	1.78	5.0	2074270.56523939
2020-03-07	Slovenia	0.0006558691150510501	128.84	4.08	1.44	0.0	2074270.56523939
2020-03-08	Slovenia	0.0006830111865548717	135.48	7.13	1.3	9.0	2074270.56523939
2020-03-09	Slovenia	0.0007126649843914626	144.88	10.32	1.25	0.0	2074270.56523939
2020-03-10	Slovenia	0.000744285738742007	156.52	15.89	1.28	15.0	2074270.56523939
2020-03-11	Slovenia	0.0007761764675160356	168.77	22.24	1.36	26.0	2074270.56523939
2020-03-12	Slovenia	0.0008068282065251471	179.26	27.32	1.44	32.0	2074270.56523939
2020-03-13	Slovenia	0.0008344379122982176	187.23	31.89	1.5	53.0	2074270.56523939
2020-03-14	Slovenia	0.0008568313265318325	191.53	34.82	1.51	41.0	2074270.56523939
2020-03-15	Slovenia	0.000872624830305637	191.66	33.46	1.47	39.0	2074270.56523939
2020-03-16	Slovenia	0.0008811338456172256	189.41	30.1	1.38	34.0	2074270.56523939
2020-03-17	Slovenia	0.0008822089223393131	186.11	28.82	1.27	22.0	2074270.56523939
2020-03-18	Slovenia	0.0008767708660948529	181.93	29.17	1.15	0.0	2074270.56523939
2020-03-19	Slovenia	0.0008657935131971263	177.64	28.74	1.04	11.0	2074270.56523939
2020-03-20	Slovenia	0.0008500096513670175	174.17	27.74	0.96	56.0	2074270.56523939
2020-03-21	Slovenia	0.0008305955977354208	171.0	28.53	0.91	43.0	2074270.56523939
2020-03-22	Slovenia	0.0008078791783879948	167.98	33.24	0.88	31.0	2074270.56523939
2020-03-23	Slovenia	0.0007815181043235373	164.46	38.39	0.86	28.0	2074270.56523939
2020-03-24	Slovenia	0.0007519559049520568	158.79	41.1	0.84	39.0	2074270.56523939
2020-03-25	Slovenia	0.000719766275923457	151.39	42.89	0.81	49.0	2074270.56523939
2020-03-26	Slovenia	0.0006856627210712307	142.29	44.74	0.78	34.0	2074270.56523939
2020-03-27	Slovenia	0.0006510963529216035	131.43	45.74	0.74	71.0	2074270.56523939
2020-03-28	Slovenia	0.0006173206241550362	120.61	46.17	0.69	53.0	2074270.56523939
2020-03-29	Slovenia	0.0005856323761986208	110.87	46.1	0.65	47.0	2074270.56523939
2020-03-30	Slovenia	0.0005575502151844535	103.43	47.1	0.62	26.0	2074270.56523939
2020-03-31	Slovenia	0.000533652657734286	99.3	46.39	0.62	47.0	2074270.56523939
2020-04-01	Slovenia	0.0005140216603695324	97.92	43.39	0.65	40.0	2074270.56523939
2020-04-02	Slovenia	0.0004984451003288846	98.73	40.82	0.7	57.0	2074270.56523939
2020-04-03	Slovenia	0.0004858961106087342	100.54	38.74	0.76	38.0	2074270.56523939
2020-04-04	Slovenia	0.00047497178840133454	101.82	38.03	0.83	44.0	2074270.56523939
2020-04-05	Slovenia	0.00046402818230654324	101.57	36.89	0.89	20.0	2074270.56523939
2020-04-06	Slovenia	0.0004515081184174803	99.12	34.6	0.93	24.0	2074270.56523939
2020-04-07	Slovenia	0.00043648597013934377	94.58	32.74	0.93	39.0	2074270.56523939
2020-04-08	Slovenia	0.0004186049855553874	88.21	31.46	0.89	32.0	2074270.56523939
2020-04-09	Slovenia	0.00039799533090550504	80.73	30.1	0.82	33.0	2074270.56523939
2020-04-10	Slovenia	0.00037518249212112066	73.33	28.67	0.74	36.0	2074270.56523939
2020-04-11	Slovenia	0.00035106316996594847	66.76	25.24	0.66	28.0	2074270.56523939
2020-04-12	Slovenia	0.0003267076201902279	61.64	22.74	0.61	17.0	2074270.56523939
2020-04-13	Slovenia	0.00030304146938876076	57.79	21.53	0.58	7.0	2074270.56523939
2020-04-14	Slovenia	0.0002810626587340675	54.5	20.6	0.56	8.0	2074270.56523939
2020-04-15	Slovenia	0.00026150879691888096	51.54	19.53	0.56	28.0	2074270.56523939
2020-04-16	Slovenia	0.0002445052292112471	48.6	18.17	0.58	20.0	2074270.56523939
2020-04-17	Slovenia	0.00022991696839942392	45.49	17.74	0.59	36.0	2074270.56523939
2020-04-18	Slovenia	0.00021745475617253603	42.62	17.67	0.61	13.0	2074270.56523939
2020-04-19	Slovenia	0.00020678112450122857	40.17	16.39	0.62	13.0	2074270.56523939
2020-04-20	Slovenia	0.0001977418022863679	38.06	14.53	0.64	5.0	2074270.56523939
2020-04-21	Slovenia	0.0001903078636968665	36.5	11.96	0.66	9.0	2074270.56523939
2020-04-22	Slovenia	0.00018444556192978882	35.79	10.03	0.68	9.0	2074270.56523939
2020-04-23	Slovenia	0.0001801404340695912	35.65	9.82	0.72	13.0	2074270.56523939
2020-04-24	Slovenia	0.0001770984008335501	35.75	9.53	0.77	7.0	2074270.56523939
2020-04-25	Slovenia	0.00017472166171252274	36.12	9.39	0.83	15.0	2074270.56523939
2020-04-26	Slovenia	0.0001726679277053064	36.44	9.24	0.89	8.0	2074270.56523939
2020-04-27	Slovenia	0.00017064311952917762	36.56	9.17	0.94	6.0	2074270.56523939
2020-04-28	Slovenia	0.0001680494366749936	36.31	8.89	0.97	6.0	2074270.56523939
2020-04-29	Slovenia	0.00016473260804362072	35.24	8.03	0.97	10.0	2074270.56523939
2020-04-30	Slovenia	0.000160822799874953	33.8	6.74	0.94	11.0	2074270.56523939
2020-05-01	Slovenia	0.0001562043088446402	32.3	5.74	0.9	5.0	2074270.56523939
2020-05-02	Slovenia	0.00015103622702366387	30.41	5.32	0.84	5.0	2074270.56523939
2020-05-03	Slovenia	0.00014550175134224515	28.77	4.82	0.79	0.0	2074270.56523939
2020-05-04	Slovenia	0.00013972140609658224	27.64	3.6	0.76	0.0	2074270.56523939
2020-05-05	Slovenia	0.00013412907875298843	26.54	2.6	0.73	6.0	2074270.56523939
2020-05-06	Slovenia	0.0001288693984669015	25.72	2.24	0.72	3.0	2074270.56523939
2020-05-07	Slovenia	0.00012391826037908184	25.08	2.39	0.73	1.0	2074270.56523939
2020-05-08	Slovenia	0.00011957456474410079	24.32	2.82	0.74	1.0	2074270.56523939
2020-05-09	Slovenia	0.00011579010184347914	23.64	2.67	0.75	4.0	2074270.56523939
2020-05-10	Slovenia	0.00011239613766253946	22.89	2.24	0.77	3.0	2074270.56523939
2020-05-11	Slovenia	0.00010952765941302368	22.03	2.17	0.78	3.0	2074270.56523939
2020-05-12	Slovenia	0.00010710753154536496	21.4	2.17	0.79	1.0	2074270.56523939
2020-05-13	Slovenia	0.00010504415559445277	20.92	1.89	0.8	2.0	2074270.56523939
2020-05-14	Slovenia	0.00010338574127876636	20.6	1.46	0.81	1.0	2074270.56523939
2020-05-15	Slovenia	0.00010208407887982641	20.59	1.1	0.84	1.0	2074270.56523939
2020-05-16	Slovenia	0.00010121148297535187	20.7	0.89	0.87	0.0	2074270.56523939
2020-05-17	Slovenia	0.0001008981198052367	20.8	0.82	0.9	1.0	2074270.56523939
2020-05-18	Slovenia	0.00010107167479176201	20.88	0.67	0.94	0.0	2074270.56523939
2020-05-19	Slovenia	0.00010165501238536101	20.94	0.53	0.97	1.0	2074270.56523939
2020-05-20	Slovenia	0.00010256617606461899	21.08	0.46	1.0	1.0	2074270.56523939
2020-05-21	Slovenia	0.00010361232695561885	21.38	0.39	1.03	0.0	2074270.56523939
2020-05-22	Slovenia	0.00010468740367770629	21.76	0.39	1.06	0.0	2074270.56523939
2020-05-23	Slovenia	0.00010588300469599186	22.13	0.39	1.07	0.0	2074270.56523939
2020-05-24	Slovenia	0.00010735340110960919	22.49	0.39	1.09	0.0	2074270.56523939
2020-05-25	Slovenia	0.00010925768498953984	22.76	0.6	1.09	1.0	2074270.56523939
2020-05-26	Slovenia	0.00011188993561850726	22.93	0.74	1.1	0.0	2074270.56523939
2020-05-27	Slovenia	0.00011539478215194925	23.28	0.74	1.11	2.0	2074270.56523939
2020-05-28	Slovenia	0.00011968062612475519	23.93	0.74	1.14	2.0	2074270.56523939
2020-05-29	Slovenia	0.00012475710948062094	24.89	0.67	1.17	0.0	2074270.56523939
2020-05-30	Slovenia	0.00013038800459899813	26.54	0.74	1.22	0.0	2074270.56523939
2020-05-31	Slovenia	0.000136105677210638	28.65	0.89	1.3	0.0	2074270.56523939
2020-06-01	Slovenia	0.00014161604803281704	30.65	0.74	1.37	0.0	2074270.56523939
2020-06-02	Slovenia	0.00014647558765552615	32.66	0.74	1.44	2.0	2074270.56523939
2020-06-03	Slovenia	0.00015037575388049802	34.17	1.24	1.48	2.0	2074270.56523939
2020-06-04	Slovenia	0.00015335029351066818	34.62	1.67	1.47	0.0	2074270.56523939
2020-06-05	Slovenia	0.00015517262086918408	34.36	1.74	1.42	2.0	2074270.56523939
2020-06-06	Slovenia	0.0001559102295619167	33.36	1.67	1.33	5.0	2074270.56523939
2020-06-07	Slovenia	0.00015611753135137753	32.02	1.6	1.21	1.0	2074270.56523939
2020-06-08	Slovenia	0.00015599218608333142	31.06	1.6	1.09	0.0	2074270.56523939
2020-06-09	Slovenia	0.00015580898915311026	30.32	1.6	0.99	1.0	2074270.56523939
2020-06-10	Slovenia	0.0001560982474639858	30.18	1.39	0.92	2.0	2074270.56523939
2020-06-11	Slovenia	0.00015722153390455246	31.08	1.32	0.92	0.0	2074270.56523939
2020-06-12	Slovenia	0.00015960791496927572	32.4	1.53	0.96	2.0	2074270.56523939
2020-06-13	Slovenia	0.00016359485868751026	33.79	1.74	1.03	2.0	2074270.56523939
2020-06-14	Slovenia	0.00016935109907393353	35.22	2.03	1.1	3.0	2074270.56523939
2020-06-15	Slovenia	0.0001772526719326837	36.69	2.74	1.18	1.0	2074270.56523939
2020-06-16	Slovenia	0.0001874972371095258	38.31	3.32	1.26	3.0	2074270.56523939
2020-06-17	Slovenia	0.00019997391225195745	40.29	3.6	1.34	4.0	2074270.56523939
2020-06-18	Slovenia	0.00021464412958519533	43.0	3.74	1.42	8.0	2074270.56523939
2020-06-19	Slovenia	0.00023135843898195366	46.71	3.6	1.49	2.0	2074270.56523939
2020-06-20	Slovenia	0.0002496443852011358	51.43	4.32	1.57	6.0	2074270.56523939
2020-06-21	Slovenia	0.00026875953857816116	56.96	5.24	1.67	1.0	2074270.56523939
2020-06-22	Slovenia	0.0002878795129270345	62.83	5.32	1.77	1.0	2074270.56523939
2020-06-23	Slovenia	0.00030592441055382033	68.46	5.82	1.85	13.0	2074270.56523939
2020-06-24	Slovenia	0.0003216504207217539	73.15	7.03	1.88	7.0	2074270.56523939
2020-06-25	Slovenia	0.00033435368154103814	76.34	8.17	1.85	6.0	2074270.56523939
2020-06-26	Slovenia	0.00034359548457351167	77.97	8.96	1.77	11.0	2074270.56523939
2020-06-27	Slovenia	0.0003491299602549303	77.72	9.32	1.63	14.0	2074270.56523939
2020-06-28	Slovenia	0.0003515886558973724	75.62	9.89	1.45	9.0	2074270.56523939
2020-06-29	Slovenia	0.0003517766737994416	73.06	11.39	1.28	4.0	2074270.56523939
2020-06-30	Slovenia	0.000350576251809308	70.6	12.82	1.12	15.0	2074270.56523939
2020-07-01	Slovenia	0.00034958313160863533	68.44	14.24	1.0	13.0	2074270.56523939
2020-07-02	Slovenia	0.000349925420609838	67.93	16.17	0.93	21.0	2074270.56523939
2020-07-03	Slovenia	0.00035247089374554276	68.85	17.89	0.9	16.0	2074270.56523939
2020-07-04	Slovenia	0.0003582560599630536	70.66	19.32	0.92	29.0	2074270.56523939
2020-07-05	Slovenia	0.0003668325688805135	74.28	20.67	0.98	21.0	2074270.56523939
2020-07-06	Slovenia	0.00037721694224094536	78.68	20.89	1.08	16.0	2074270.56523939
2020-07-07	Slovenia	0.0003887728117604232	83.0	20.39	1.17	23.0	2074270.56523939
2020-07-08	Slovenia	0.0003997598066018459	87.62	20.82	1.27	24.0	2074270.56523939
2020-07-09	Slovenia	0.00040877020298561896	90.85	20.67	1.33	13.0	2074270.56523939
2020-07-10	Slovenia	0.0004152110213744477	92.14	19.6	1.35	17.0	2074270.56523939
2020-07-11	Slovenia	0.00041774203159460863	92.41	18.1	1.33	34.0	2074270.56523939
2020-07-12	Slovenia	0.00041570276050293607	90.72	16.82	1.27	14.0	2074270.56523939
2020-07-13	Slovenia	0.000409155880733453	87.54	16.89	1.17	8.0	2074270.56523939
2020-07-14	Slovenia	0.0003979085534122424	84.02	17.46	1.06	10.0	2074270.56523939
2020-07-15	Slovenia	0.000382751417922364	79.53	16.89	0.95	19.0	2074270.56523939
2020-07-16	Slovenia	0.0003648897172257994	74.45	15.6	0.84	19.0	2074270.56523939
2020-07-17	Slovenia	0.00034514783750854366	69.42	14.96	0.76	19.0	2074270.56523939
2020-07-18	Slovenia	0.0003250395639308457	64.29	15.89	0.69	24.0	2074270.56523939
2020-07-19	Slovenia	0.00030613171234328116	59.41	17.6	0.64	6.0	2074270.56523939
2020-07-20	Slovenia	0.0002894270448902186	55.09	18.89	0.61	7.0	2074270.56523939
2020-07-21	Slovenia	0.0002759331446878746	51.46	19.46	0.6	24.0	2074270.56523939
2020-07-22	Slovenia	0.0002665322495844195	49.01	18.74	0.61	29.0	2074270.56523939
2020-07-23	Slovenia	0.00026160039538399157	48.32	18.74	0.65	27.0	2074270.56523939
2020-07-24	Slovenia	0.00026105080459332803	49.37	19.32	0.72	19.0	2074270.56523939
2020-07-25	Slovenia	0.00026473884805699115	51.54	18.46	0.81	14.0	2074270.56523939
2020-07-26	Slovenia	0.0002721245769280133	54.95	16.67	0.93	16.0	2074270.56523939
2020-07-27	Slovenia	0.0002821473773998508	59.19	15.39	1.07	5.0	2074270.56523939
2020-07-28	Slovenia	0.0002938912648213978	63.15	15.03	1.22	14.0	2074270.56523939
2020-07-29	Slovenia	0.00030619920594915205	67.06	14.96	1.35	14.0	2074270.56523939
2020-07-30	Slovenia	0.00031795755628624277	70.41	14.53	1.46	24.0	2074270.56523939
2020-07-31	Slovenia	0.00032909400125495116	72.25	13.74	1.5	17.0	2074270.56523939
2020-08-01	Slovenia	0.0003395121214183186	73.37	13.1	1.49	15.0	2074270.56523939
2020-08-02	Slovenia	0.0003491154973393865	73.85	13.03	1.42	9.0	2074270.56523939
2020-08-03	Slovenia	0.00035860316993610434	73.76	12.67	1.33	1.0	2074270.56523939
2020-08-04	Slovenia	0.00036797031823662386	74.64	11.53	1.25	9.0	2074270.56523939
2020-08-05	Slovenia	0.00037674448699984863	76.56	10.96	1.2	18.0	2074270.56523939
2020-08-06	Slovenia	0.00038504137955012877	79.11	10.39	1.17	15.0	2074270.56523939
2020-08-07	Slovenia	0.0003924271084211509	82.83	10.24	1.18	10.0	2074270.56523939
2020-08-08	Slovenia	0.0003984002925407309	86.49	11.17	1.2	14.0	2074270.56523939
2020-08-09	Slovenia	0.00040298503676810816	88.61	12.67	1.22	2.0	2074270.56523939
2020-08-10	Slovenia	0.00040561246642522767	89.46	14.6	1.22	6.0	2074270.56523939
2020-08-11	Slovenia	0.0004060126070886055	88.69	17.53	1.19	17.0	2074270.56523939
2020-08-12	Slovenia	0.0004047832592673844	86.24	20.74	1.14	31.0	2074270.56523939
