date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	South Africa	6.542729050636864e-07	0.0	0.0			55588424.5221186
2020-02-05	South Africa	1.1565357455744953e-06	0.0	0.0			55588424.5221186
2020-02-06	South Africa	1.7964171652367258e-06	0.0	0.0			55588424.5221186
2020-02-07	South Africa	2.574816631887969e-06	2.17	0.0	inf		55588424.5221186
2020-02-08	South Africa	3.4741045759114414e-06	6.42	0.0	inf		55588424.5221186
2020-02-09	South Africa	4.420344741057163e-06	10.42	0.0	inf		55588424.5221186
2020-02-10	South Africa	5.387092772899959e-06	17.36	0.0	inf		55588424.5221186
2020-02-11	South Africa	6.361576228146039e-06	27.92	0.0	inf		55588424.5221186
2020-02-12	South Africa	7.338758086904891e-06	35.57	0.0	inf		55588424.5221186
2020-02-13	South Africa	8.317558987771407e-06	43.27	0.0	inf		55588424.5221186
2020-02-14	South Africa	9.297799037178068e-06	49.99	0.0	inf		55588424.5221186
2020-02-15	South Africa	1.0240621224540945e-05	52.6	0.0	inf		55588424.5221186
2020-02-16	South Africa	1.110860768781625e-05	53.74	0.0	inf		55588424.5221186
2020-02-17	South Africa	1.1931440865644487e-05	54.17	0.0	inf		55588424.5221186
2020-02-18	South Africa	1.2709480545160694e-05	54.32	0.0	inf		55588424.5221186
2020-02-19	South Africa	1.3411425245616704e-05	54.41	0.0	inf		55588424.5221186
2020-02-20	South Africa	1.4129020686446798e-05	54.49	0.0	inf		55588424.5221186
2020-02-21	South Africa	1.4957430564868099e-05	54.58	0.0	inf		55588424.5221186
2020-02-22	South Africa	1.59835434739919e-05	54.67	0.64	inf		55588424.5221186
2020-02-23	South Africa	1.7324470126272546e-05	56.16	1.2	1.07		55588424.5221186
2020-02-24	South Africa	1.907087687973922e-05	60.61	1.7	1.14		55588424.5221186
2020-02-25	South Africa	2.1367218269109012e-05	66.94	2.36	inf		55588424.5221186
2020-02-26	South Africa	2.434985361856074e-05	75.46	3.24	inf		55588424.5221186
2020-02-27	South Africa	2.8086962590183782e-05	89.32	3.37	inf		55588424.5221186
2020-02-28	South Africa	3.2646544952500035e-05	107.03	3.41	inf		55588424.5221186
2020-02-29	South Africa	3.810505547170471e-05	127.14	3.42	inf		55588424.5221186
2020-03-01	South Africa	4.465929771066274e-05	150.82	3.42	inf		55588424.5221186
2020-03-02	South Africa	5.264873083128096e-05	181.82	3.43	inf		55588424.5221186
2020-03-03	South Africa	6.235632741526548e-05	220.12	3.43	inf		55588424.5221186
2020-03-04	South Africa	7.417263639769831e-05	262.15	3.44	inf		55588424.5221186
2020-03-05	South Africa	8.842362492292244e-05	307.95	3.44	inf	1.0	55588424.5221186
2020-03-06	South Africa	0.0001048308177484197	358.01	3.45	inf	0.0	55588424.5221186
2020-03-07	South Africa	0.000122839782899099	419.01	3.46	3.99	0.0	55588424.5221186
2020-03-08	South Africa	0.00014182233203718675	500.28	3.92	3.99	2.0	55588424.5221186
2020-03-09	South Africa	0.00016089392849119604	600.24	2.1	3.98	0.0	55588424.5221186
2020-03-10	South Africa	0.00017911750666792456	723.79	2.82	3.95	4.0	55588424.5221186
2020-03-11	South Africa	0.00019577043410665167	867.65	4.32	3.95	6.0	55588424.5221186
2020-03-12	South Africa	0.00021061471161755083	1001.37	6.1	3.86	4.0	55588424.5221186
2020-03-13	South Africa	0.00022385901573894313	1108.12	7.67	3.67	7.0	55588424.5221186
2020-03-14	South Africa	0.0002357665307601077	1182.35	8.17	3.37	14.0	55588424.5221186
2020-03-15	South Africa	0.00024647829323797883	1210.98	11.32	2.94	13.0	55588424.5221186
2020-03-16	South Africa	0.0002560052766801751	1194.84	16.89	2.45	11.0	55588424.5221186
2020-03-17	South Africa	0.000264249079305264	1145.83	22.24	1.98	0.0	55588424.5221186
2020-03-18	South Africa	0.00027086502503788075	1087.32	27.17	1.57	54.0	55588424.5221186
2020-03-19	South Africa	0.00027544385601192145	1044.18	30.39	1.24	34.0	55588424.5221186
2020-03-20	South Africa	0.00027808127560530573	1019.93	40.39	1.02	52.0	55588424.5221186
2020-03-21	South Africa	0.0002793757897171667	1014.46	59.89	0.9	38.0	55588424.5221186
2020-03-22	South Africa	0.0002801018401556701	1029.87	78.24	0.86	34.0	55588424.5221186
2020-03-23	South Africa	0.00028110582615598924	1058.5	98.89	0.88	130.0	55588424.5221186
2020-03-24	South Africa	0.00028332301437565104	1091.56	126.03	0.94	154.0	55588424.5221186
2020-03-25	South Africa	0.00028755303172227397	1122.18	138.39	1.02	157.0	55588424.5221186
2020-03-26	South Africa	0.00029409360205010063	1147.98	141.24	1.09	220.0	55588424.5221186
2020-03-27	South Africa	0.00030307191011136634	1180.08	139.6	1.15	246.0	55588424.5221186
2020-03-28	South Africa	0.0003145631514172938	1222.71	124.53	1.2	17.0	55588424.5221186
2020-03-29	South Africa	0.00032829136923531006	1266.79	106.17	1.23	95.0	55588424.5221186
2020-03-30	South Africa	0.0003440748710622217	1318.09	87.1	1.27	46.0	55588424.5221186
2020-03-31	South Africa	0.00036195539220569296	1380.97	62.82	1.3	27.0	55588424.5221186
2020-04-01	South Africa	0.00038191296447972947	1450.9	52.89	1.32	27.0	55588424.5221186
2020-04-02	South Africa	0.00040397475181302625	1543.27	55.67	1.37	83.0	55588424.5221186
2020-04-03	South Africa	0.00042799917796794657	1658.71	52.82	1.44	43.0	55588424.5221186
2020-04-04	South Africa	0.00045343882681853255	1777.59	54.32	1.5	81.0	55588424.5221186
2020-04-05	South Africa	0.0004798650119933883	1907.25	61.96	1.55	70.0	55588424.5221186
2020-04-06	South Africa	0.000507229881803554	2052.45	67.6	1.6	31.0	55588424.5221186
2020-04-07	South Africa	0.0005353240401364384	2200.97	70.03	1.64	63.0	55588424.5221186
2020-04-08	South Africa	0.0005639384506665856	2348.56	67.89	1.67	98.0	55588424.5221186
2020-04-09	South Africa	0.000593232678988384	2483.46	69.39	1.68	91.0	55588424.5221186
2020-04-10	South Africa	0.0006233472219780654	2594.23	79.89	1.65	69.0	55588424.5221186
2020-04-11	South Africa	0.0006548555803288777	2691.7	90.74	1.61	25.0	55588424.5221186
2020-04-12	South Africa	0.0006888453905500362	2787.96	96.24	1.55	147.0	55588424.5221186
2020-04-13	South Africa	0.0007259209151348342	2879.8	96.6	1.49	101.0	55588424.5221186
2020-04-14	South Africa	0.0007664284492007445	2971.6	105.24	1.43	145.0	55588424.5221186
2020-04-15	South Africa	0.000810842911766015	3079.32	129.6	1.38	93.0	55588424.5221186
2020-04-16	South Africa	0.00085987362316737	3217.29	144.53	1.35	101.0	55588424.5221186
2020-04-17	South Africa	0.0009147417009411229	3410.21	146.1	1.36	180.0	55588424.5221186
