date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	United Kingdom	6.6752010798859595e-06	89.53	2.91		0.0	67220446.9393551
2020-02-05	United Kingdom	8.119850802129113e-06	88.28	3.1		0.0	67220446.9393551
2020-02-06	United Kingdom	9.637246247179073e-06	88.36	3.59		1.0	67220446.9393551
2020-02-07	United Kingdom	1.1277074677648262e-05	89.73	4.07		0.0	67220446.9393551
2020-02-08	United Kingdom	1.3136181626353102e-05	92.81	4.45		0.0	67220446.9393551
2020-02-09	United Kingdom	1.53368513144535e-05	97.11	4.42		1.0	67220446.9393551
2020-02-10	United Kingdom	1.6721995332969204e-05	102.0	4.48		6.0	67220446.9393551
2020-02-11	United Kingdom	1.8835340400849572e-05	110.23	4.56		0.0	67220446.9393551
2020-02-12	United Kingdom	2.1839634617789172e-05	124.97	4.57		0.0	67220446.9393551
2020-02-13	United Kingdom	2.5980934068701013e-05	147.93	4.51		2.0	67220446.9393551
2020-02-14	United Kingdom	3.1615975447431156e-05	182.64	4.03		0.0	67220446.9393551
2020-02-15	United Kingdom	3.922824259676513e-05	230.34	3.61		0.0	67220446.9393551
2020-02-16	United Kingdom	4.9461289702515286e-05	290.31	3.63		0.0	67220446.9393551
2020-02-17	United Kingdom	6.294632351697055e-05	368.11	3.49		0.0	67220446.9393551
2020-02-18	United Kingdom	8.0191820278482e-05	471.6	3.38		0.0	67220446.9393551
2020-02-19	United Kingdom	0.00010157504614868164	608.81	3.43		0.0	67220446.9393551
2020-02-20	United Kingdom	0.00012750138373421272	789.87	3.46		0.0	67220446.9393551
2020-02-21	United Kingdom	0.00015927192524707592	1016.7	3.92		0.0	67220446.9393551
2020-02-22	United Kingdom	0.00019929189123193476	1284.22	4.37		0.0	67220446.9393551
2020-02-23	United Kingdom	0.00025045950698883467	1585.32	4.39		0.0	67220446.9393551
2020-02-24	United Kingdom	0.00031653285523668265	1925.42	4.41		6.0	67220446.9393551
2020-02-25	United Kingdom	0.00040160458951359344	2365.97	5.02		0.0	67220446.9393551
2020-02-26	United Kingdom	0.0005091703723850361	2980.47	6.02		0.0	67220446.9393551
2020-02-27	United Kingdom	0.0006426528231651542	3807.62	7.8		0.0	67220446.9393551
2020-02-28	United Kingdom	0.0008046209518481208	4913.08	9.32		8.0	67220446.9393551
2020-02-29	United Kingdom	0.000996272757014229	6327.37	10.82		5.0	67220446.9393551
2020-03-01	United Kingdom	0.0012182195110050189	8020.49	15.76		18.0	67220446.9393551
2020-03-02	United Kingdom	0.00146922780934648	9989.45	22.57		6.0	67220446.9393551
2020-03-03	United Kingdom	0.0017467374191357386	12171.79	27.46		17.0	67220446.9393551
2020-03-04	United Kingdom	0.002054282384117168	14468.24	36.52		50.0	67220446.9393551
2020-03-05	United Kingdom	0.0024041967490308755	16844.78	47.47		42.0	67220446.9393551
2020-03-06	United Kingdom	0.002800502950684577	19238.86	55.42		66.0	67220446.9393551
2020-03-07	United Kingdom	0.0032441623037219895	21634.79	64.21		68.0	67220446.9393551
2020-03-08	United Kingdom	0.0037388555334471737	24480.93	73.34		96.0	67220446.9393551
2020-03-09	United Kingdom	0.004278465602281209	28434.48	89.78		75.0	67220446.9393551
2020-03-10	United Kingdom	0.0048586639165707	32967.25	115.62		76.0	67220446.9393551
2020-03-11	United Kingdom	0.005477715736287732	37843.47	154.26		118.0	67220446.9393551
2020-03-12	United Kingdom	0.006134579265324298	43242.95	203.33		192.0	67220446.9393551
2020-03-13	United Kingdom	0.006828259122021296	48444.62	239.98		299.0	67220446.9393551
2020-03-14	United Kingdom	0.007545689341482771	53469.43	287.19		378.0	67220446.9393551
2020-03-15	United Kingdom	0.00826228930761299	58457.72	388.19		473.0	67220446.9393551
2020-03-16	United Kingdom	0.008962476856833882	63393.52	505.91		211.0	67220446.9393551
2020-03-17	United Kingdom	0.009630032668244715	68264.26	614.05		601.0	67220446.9393551
2020-03-18	United Kingdom	0.01024406190903863	72706.91	748.48		1007.0	67220446.9393551
2020-03-19	United Kingdom	0.010797067901895788	76604.65	863.62		951.0	67220446.9393551
2020-03-20	United Kingdom	0.01128066435922562	80034.17	983.48		1054.0	67220446.9393551
2020-03-21	United Kingdom	0.011685002194475672	82716.87	1175.83		1505.0	67220446.9393551
2020-03-22	United Kingdom	0.01200319377120376	84518.27	1359.76		958.0	67220446.9393551
2020-03-23	United Kingdom	0.012226667441552196	85617.93	1591.05		1404.0	67220446.9393551
2020-03-24	United Kingdom	0.01235321866796214	85977.0	1972.12		2101.0	67220446.9393551
2020-03-25	United Kingdom	0.012386454091136513	85637.49	2356.05		2082.0	67220446.9393551
2020-03-26	United Kingdom	0.012327421160225177	84782.5	2698.41		3114.0	67220446.9393551
2020-03-27	United Kingdom	0.012182978056346983	83286.26	3053.12		4226.0	67220446.9393551
2020-03-28	United Kingdom	0.01196811858043439	81213.74	3385.55		3708.0	67220446.9393551
2020-03-29	United Kingdom	0.01169580366981628	78838.75	3849.55		3548.0	67220446.9393551
2020-03-30	United Kingdom	0.011379377181025014	76065.95	4370.33		3780.0	67220446.9393551
2020-03-31	United Kingdom	0.011032295138844473	73007.34	4747.26		4379.0	67220446.9393551
2020-04-01	United Kingdom	0.010663607021933273	70075.32	5022.41		6300.0	67220446.9393551
2020-04-02	United Kingdom	0.01028381558699931	67312.8	5504.33		6187.0	67220446.9393551
2020-04-03	United Kingdom	0.009902671289891102	64706.67	5993.12		6430.0	67220446.9393551
2020-04-04	United Kingdom	0.009524958537952597	62306.48	6180.76		5356.0	67220446.9393551
2020-04-05	United Kingdom	0.009157166279411016	59999.12	6369.69		8647.0	67220446.9393551
2020-04-06	United Kingdom	0.008805447999088811	57756.51	6532.45		5524.0	67220446.9393551
2020-04-07	United Kingdom	0.008470960785394964	55593.05	6630.12		5262.0	67220446.9393551
2020-04-08	United Kingdom	0.008154028944414788	53448.73	6783.93		8062.0	67220446.9393551
2020-04-09	United Kingdom	0.007854225671488298	51342.79	6720.19		6703.67	67220446.9393551
2020-04-10	United Kingdom	0.0075707939052998266	49364.68	6536.55		7280.67	67220446.9393551
2020-04-11	United Kingdom	0.00730413709452064	47590.94	6601.41		6658.67	67220446.9393551
2020-04-12	United Kingdom	0.007053510674032849	46008.5	6527.48		6452.0	67220446.9393551
2020-04-13	United Kingdom	0.006817685107233188	44553.76	6282.64		5148.0	67220446.9393551
2020-04-14	United Kingdom	0.006595564447823254	43254.07	6171.41		6546.0	67220446.9393551
2020-04-15	United Kingdom	0.006385298217181384	42074.33	6118.52		5743.0	67220446.9393551
2020-04-16	United Kingdom	0.00618468291909855	40909.29	6098.19		5595.0	67220446.9393551
2020-04-17	United Kingdom	0.005990149252700923	39740.75	6041.91		6832.0	67220446.9393551
2020-04-18	United Kingdom	0.005797580762168892	38517.68	5896.55		6367.0	67220446.9393551
2020-04-19	United Kingdom	0.005604476571539058	37208.6	5787.55		6459.0	67220446.9393551
2020-04-20	United Kingdom	0.005408418815304709	35879.23	5763.83		4353.0	67220446.9393551
2020-04-21	United Kingdom	0.005207724523400178	34514.3	5650.33		5306.0	67220446.9393551
2020-04-22	United Kingdom	0.005003237784232836	33063.96	5453.98		5457.0	67220446.9393551
2020-04-23	United Kingdom	0.004796468108741991	31573.21	5183.91		5549.0	67220446.9393551
2020-04-24	United Kingdom	0.004589496411386992	30074.98	4972.19		5289.0	67220446.9393551
2020-04-25	United Kingdom	0.004385378607582762	28583.57	4818.62		5161.0	67220446.9393551
2020-04-26	United Kingdom	0.0041865940024751035	27163.6	4496.62		3884.0	67220446.9393551
2020-04-27	United Kingdom	0.003995677836571326	25841.6	4221.19		3964.0	67220446.9393551
2020-04-28	United Kingdom	0.003815986975382954	24604.95	4098.55		3545.0	67220446.9393551
2020-04-29	United Kingdom	0.0036497960244349687	23487.71	3971.19		2710.0	67220446.9393551
2020-04-30	United Kingdom	0.003497720421468171	22516.84	3862.98		4440.0	67220446.9393551
2020-05-01	United Kingdom	0.0033597918532697973	21680.83	3751.69		4681.0	67220446.9393551
2020-05-02	United Kingdom	0.003235246415368247	20985.06	3640.62		3986.0	67220446.9393551
2020-05-03	United Kingdom	0.00312247656117732	20401.78	3633.26		3544.0	67220446.9393551
2020-05-04	United Kingdom	0.0030196899789007472	19852.39	3593.48		2746.0	67220446.9393551
2020-05-05	United Kingdom	0.002924518044001657	19311.95	3420.69		3208.0	67220446.9393551
2020-05-06	United Kingdom	0.0028342071300400634	18791.6	3193.05		2944.0	67220446.9393551
2020-05-07	United Kingdom	0.0027466351148567845	18261.16	2974.12		3649.0	67220446.9393551
2020-05-08	United Kingdom	0.0026595386990105473	17695.59	2791.26		3053.0	67220446.9393551
2020-05-09	United Kingdom	0.002570570828782082	17090.21	2626.05		2427.0	67220446.9393551
2020-05-10	United Kingdom	0.0024790587921907493	16446.1	2479.76		2038.0	67220446.9393551
2020-05-11	United Kingdom	0.0023854665849613642	15794.2	2321.12		1692.0	67220446.9393551
2020-05-12	United Kingdom	0.002290420355861398	15130.4	2145.55		1949.0	67220446.9393551
2020-05-13	United Kingdom	0.0021953495806586463	14421.32	2055.76		2155.0	67220446.9393551
2020-05-14	United Kingdom	0.0021020321410162228	13700.91	2001.55		2217.0	67220446.9393551
2020-05-15	United Kingdom	0.002011944522207866	13020.64	1945.05		2027.0	67220446.9393551
2020-05-16	United Kingdom	0.001926278028422199	12402.55	1899.33		2196.0	67220446.9393551
2020-05-17	United Kingdom	0.0018453739248700993	11870.46	1783.69		1510.0	67220446.9393551
2020-05-18	United Kingdom	0.0017693054035671518	11422.75	1654.41		1429.0	67220446.9393551
2020-05-19	United Kingdom	0.0016986426779193242	11034.48	1608.55		1572.0	67220446.9393551
2020-05-20	United Kingdom	0.0016335209746383371	10687.56	1575.98		913.0	67220446.9393551
2020-05-21	United Kingdom	0.001573128635925349	10355.79	1521.91		1649.0	67220446.9393551
2020-05-22	United Kingdom	0.001516332673181388	10017.04	1462.69		1953.0	67220446.9393551
2020-05-23	United Kingdom	0.0014622332114018369	9671.34	1386.69		1814.0	67220446.9393551
2020-05-24	United Kingdom	0.0014103421550518706	9323.4	1358.19		1135.0	67220446.9393551
2020-05-25	United Kingdom	0.0013607495065083768	8961.04	1322.69		975.0	67220446.9393551
2020-05-26	United Kingdom	0.0013139027486633863	8584.7	1172.45		962.0	67220446.9393551
2020-05-27	United Kingdom	0.0012700455573736633	8233.87	982.98		1124.0	67220446.9393551
2020-05-28	United Kingdom	0.0012294382700930144	7934.61	847.64		941.0	67220446.9393551
2020-05-29	United Kingdom	0.0011923424143893224	7700.84	771.33		557.67	67220446.9393551
2020-05-30	United Kingdom	0.0011584281798996778	7538.5	730.12		556.67	67220446.9393551
2020-05-31	United Kingdom	0.0011274056250826687	7407.69	699.12		497.67	67220446.9393551
2020-06-01	United Kingdom	0.0010992348811167975	7287.4	667.83		544.0	67220446.9393551
2020-06-02	United Kingdom	0.0010732860801281093	7177.74	674.72		816.0	67220446.9393551
2020-06-03	United Kingdom	0.0010485187648869296	7043.67	704.33		836.0	67220446.9393551
2020-06-04	United Kingdom	0.0010237563588663073	6875.69	710.6		791.0	67220446.9393551
2020-06-05	United Kingdom	0.0009980434979928988	6691.05	681.26		804.0	67220446.9393551
2020-06-06	United Kingdom	0.0009713104118290825	6489.58	674.41		725.0	67220446.9393551
2020-06-07	United Kingdom	0.0009437234188167776	6269.74	643.26		417.0	67220446.9393551
2020-06-08	United Kingdom	0.0009152118559328076	6036.3	578.33		214.0	67220446.9393551
2020-06-09	United Kingdom	0.0008859851832542928	5810.07	555.76		1050.0	67220446.9393551
2020-06-10	United Kingdom	0.0008563778228361817	5610.68	544.19		166.0	67220446.9393551
2020-06-11	United Kingdom	0.0008266206568089368	5432.99	545.62		552.0	67220446.9393551
2020-06-12	United Kingdom	0.0007969307322269038	5261.18	568.76		727.0	67220446.9393551
