date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	Azerbaijan	3.600756299337091e-05	38.69	0.0	inf		10278673.9571389
2020-02-05	Azerbaijan	4.50184529570196e-05	68.15	0.0	inf		10278673.9571389
2020-02-06	Azerbaijan	5.414317083318684e-05	77.16	0.0	inf		10278673.9571389
2020-02-07	Azerbaijan	6.38846997908649e-05	89.75	0.0	inf		10278673.9571389
2020-02-08	Azerbaijan	7.436075929513709e-05	96.36	0.0	inf		10278673.9571389
2020-02-09	Azerbaijan	8.585835134765276e-05	92.62	0.0	inf		10278673.9571389
2020-02-10	Azerbaijan	9.487605152828975e-05	93.79	0.0	inf		10278673.9571389
2020-02-11	Azerbaijan	0.00010217368547531293	100.13	0.0	inf		10278673.9571389
2020-02-12	Azerbaijan	0.00010950926205984229	107.68	0.0	inf		10278673.9571389
2020-02-13	Azerbaijan	0.00011715324418512707	118.18	0.0	inf		10278673.9571389
2020-02-14	Azerbaijan	0.00012686266783414608	131.38	0.0	inf		10278673.9571389
2020-02-15	Azerbaijan	0.00013846727758219204	143.16	0.0	inf		10278673.9571389
2020-02-16	Azerbaijan	0.00015046785280369997	152.56	0.09	inf		10278673.9571389
2020-02-17	Azerbaijan	0.0001625725270563146	168.32	0.15	1.82		10278673.9571389
2020-02-18	Azerbaijan	0.00017335212766063626	196.16	0.19	2.06		10278673.9571389
2020-02-19	Azerbaijan	0.0001825021406284743	211.9	0.27	2.12		10278673.9571389
2020-02-20	Azerbaijan	0.00019089621951061218	217.14	0.36	2.06		10278673.9571389
2020-02-21	Azerbaijan	0.00019927181351806752	224.55	0.35	1.99		10278673.9571389
2020-02-22	Azerbaijan	0.00020875747289461413	218.48	0.37	1.77		10278673.9571389
2020-02-23	Azerbaijan	0.0002190866262895675	212.23	0.4	1.52		10278673.9571389
2020-02-24	Azerbaijan	0.0002293282197518143	217.66	0.47	1.41		10278673.9571389
2020-02-25	Azerbaijan	0.00024110892225341453	229.25	0.55	1.34		10278673.9571389
2020-02-26	Azerbaijan	0.0002548801538918779	250.06	0.63	1.31		10278673.9571389
2020-02-27	Azerbaijan	0.0002699453267581163	274.49	0.74	1.33		10278673.9571389
2020-02-28	Azerbaijan	0.0002877589086232002	301.43	0.84	1.44	1.0	10278673.9571389
2020-02-29	Azerbaijan	0.00030780818743672556	332.99	0.91	1.58	1.0	10278673.9571389
2020-03-01	Azerbaijan	0.00032878365576065837	358.69	0.93	1.69	1.0	10278673.9571389
2020-03-02	Azerbaijan	0.00035055008214337395	379.4	1.4	1.8	0.0	10278673.9571389
2020-03-03	Azerbaijan	0.00037260059186331536	401.58	0.82	1.87	0.0	10278673.9571389
2020-03-04	Azerbaijan	0.00039563274571771174	418.31	0.89	1.85	0.0	10278673.9571389
2020-03-05	Azerbaijan	0.0004206962900109008	433.26	0.96	1.77	3.0	10278673.9571389
2020-03-06	Azerbaijan	0.0004488215132843968	452.98	0.89	1.67	0.0	10278673.9571389
2020-03-07	Azerbaijan	0.0004826206201972794	476.71	1.03	1.57	3.0	10278673.9571389
2020-03-08	Azerbaijan	0.0005237173610571852	511.23	1.17	1.53	0.0	10278673.9571389
2020-03-09	Azerbaijan	0.0005727645438068489	559.05	0.96	1.54	0.0	10278673.9571389
2020-03-10	Azerbaijan	0.0006318519321735342	622.08	1.03	1.62	2.0	10278673.9571389
2020-03-11	Azerbaijan	0.0007015992559031755	706.1	1.1	1.75	0.0	10278673.9571389
2020-03-12	Azerbaijan	0.000781231123147249	801.82	1.2	1.9	0.0	10278673.9571389
2020-03-13	Azerbaijan	0.0008701229397191141	905.72	1.82	2.06	4.0	10278673.9571389
2020-03-14	Azerbaijan	0.0009663114173498615	1025.65	2.29	2.24	0.0	10278673.9571389
2020-03-15	Azerbaijan	0.001068365437583809	1150.17	2.46	2.36	4.33	10278673.9571389
2020-03-16	Azerbaijan	0.0011748003731175088	1271.49	3.6	2.42	4.33	10278673.9571389
2020-03-17	Azerbaijan	0.0012820622635712157	1390.4	4.46	2.41	4.33	10278673.9571389
2020-03-18	Azerbaijan	0.0013883619676532911	1499.92	4.82	2.33	0.0	10278673.9571389
2020-03-19	Azerbaijan	0.0014935895490037813	1608.03	6.01	2.22	16.0	10278673.9571389
2020-03-20	Azerbaijan	0.001595282627737349	1716.09	6.74	2.09	0.0	10278673.9571389
2020-03-21	Azerbaijan	0.0016902248356592394	1808.61	7.7	1.94	9.0	10278673.9571389
2020-03-22	Azerbaijan	0.0017756103633702763	1894.44	8.89	1.81	12.0	10278673.9571389
2020-03-23	Azerbaijan	0.001847401725084546	1987.32	10.24	1.69	7.0	10278673.9571389
2020-03-24	Azerbaijan	0.0019014125831305318	2070.92	14.24	1.59	15.0	10278673.9571389
2020-03-25	Azerbaijan	0.0019344246235371962	2126.05	17.89	1.5	6.0	10278673.9571389
2020-03-26	Azerbaijan	0.0019439044455848956	2149.14	19.53	1.41	29.0	10278673.9571389
