date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	Mexico	0.00022172219668973166	5348.97	0.96		0.0	124940174.748336
2020-02-05	Mexico	0.00026945832329603315	5419.6	0.96		0.0	124940174.748336
2020-02-06	Mexico	0.00031815643030809357	5514.78	0.96		0.0	124940174.748336
2020-02-07	Mexico	0.0003677058247480309	5622.29	0.96		0.0	124940174.748336
2020-02-08	Mexico	0.0004176554107204414	5796.37	0.96		0.0	124940174.748336
2020-02-09	Mexico	0.0004677021631969364	5964.16	0.96		0.0	124940174.748336
2020-02-10	Mexico	0.0004752316068038058	6084.35	0.96		0.0	124940174.748336
2020-02-11	Mexico	0.0004828650201708116	6190.71	0.96		0.0	124940174.748336
2020-02-12	Mexico	0.0004907837701004709	6240.71	0.96		0.0	124940174.748336
2020-02-13	Mexico	0.0004991492138186767	6252.85	0.96		0.0	124940174.748336
2020-02-14	Mexico	0.0005074862439380769	6289.7	0.96		0.0	124940174.748336
2020-02-15	Mexico	0.0005157389136824318	6373.32	0.96		0.0	124940174.748336
2020-02-16	Mexico	0.0005241129214994325	6504.15	1.03		0.0	124940174.748336
2020-02-17	Mexico	0.0005326872651975893	6667.47	1.1		0.0	124940174.748336
2020-02-18	Mexico	0.0005422128641684347	6838.0	1.1		0.0	124940174.748336
2020-02-19	Mexico	0.0005534055810252567	6995.25	1.25		1.0	124940174.748336
2020-02-20	Mexico	0.0005666006161956549	7130.6	1.46		0.0	124940174.748336
2020-02-21	Mexico	0.0005824633281215194	7261.99	1.53		0.0	124940174.748336
2020-02-22	Mexico	0.0006019436914626344	7430.84	1.6		2.0	124940174.748336
2020-02-23	Mexico	0.0006258638597033131	7651.27	1.67		1.0	124940174.748336
2020-02-24	Mexico	0.0006550111696645432	7938.29	1.82		0.0	124940174.748336
2020-02-25	Mexico	0.0006902794091149502	8355.21	2.17		1.0	124940174.748336
2020-02-26	Mexico	0.0007323845207061285	8938.03	2.6		1.0	124940174.748336
2020-02-27	Mexico	0.0007815897504281389	9656.06	3.53		2.0	124940174.748336
2020-02-28	Mexico	0.0008378845332245242	10479.67	5.6		3.0	124940174.748336
2020-02-29	Mexico	0.0009013920480489795	11401.67	8.25		5.0	124940174.748336
2020-03-01	Mexico	0.0009720231322280702	12391.22	10.53		11.0	124940174.748336
2020-03-02	Mexico	0.001048927778946823	13409.7	12.25		19.0	124940174.748336
2020-03-03	Mexico	0.0011310975055434053	14464.32	13.89		19.0	124940174.748336
2020-03-04	Mexico	0.0012177089579589071	15585.91	16.0		15.0	124940174.748336
2020-03-05	Mexico	0.0013080967777514387	16762.95	18.42		12.0	124940174.748336
2020-03-06	Mexico	0.0014020743155902543	17963.69	23.25		16.0	124940174.748336
2020-03-07	Mexico	0.001499780357898816	19204.33	29.75		21.5	124940174.748336
2020-03-08	Mexico	0.0016017126629052137	20477.31	36.17		28.5	124940174.748336
2020-03-09	Mexico	0.0017087969536623642	21772.74	45.6		69.0	124940174.748336
2020-03-10	Mexico	0.0018217182780355555	23143.24	58.32		60.0	124940174.748336
2020-03-11	Mexico	0.0019410339427529087	24598.63	71.14		64.0	124940174.748336
2020-03-12	Mexico	0.0020681569440772806	26145.14	83.64		95.0	124940174.748336
