date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	Namibia	0.0	0.0	0.0			2403123.92532749
2020-02-05	Namibia	0.0	0.0	0.0			2403123.92532749
2020-02-06	Namibia	0.0	0.0	0.0			2403123.92532749
2020-02-07	Namibia	0.0	0.0	0.0			2403123.92532749
2020-02-08	Namibia	0.0	0.0	0.0			2403123.92532749
2020-02-09	Namibia	0.0	0.0	0.0			2403123.92532749
2020-02-10	Namibia	0.0	0.0	0.0			2403123.92532749
2020-02-11	Namibia	0.0	0.0	0.0			2403123.92532749
2020-02-12	Namibia	1.922497608761646e-06	0.0	0.0			2403123.92532749
2020-02-13	Namibia	8.717819243194044e-06	0.0	0.0			2403123.92532749
2020-02-14	Namibia	1.9949033628578636e-05	0.0	0.0			2403123.92532749
2020-02-15	Namibia	3.785073214133319e-05	0.0	0.0			2403123.92532749
2020-02-16	Namibia	6.702525754182648e-05	4.62	0.0	inf		2403123.92532749
2020-02-17	Namibia	0.00010464712092021185	16.33	0.0	inf		2403123.92532749
2020-02-18	Namibia	0.00015194389109593666	26.99	0.0	inf		2403123.92532749
2020-02-19	Namibia	0.00020638968917610417	43.02	0.0	inf		2403123.92532749
2020-02-20	Namibia	0.0002632157223909289	70.11	0.0	inf		2403123.92532749
2020-02-21	Namibia	0.00032123603442331774	90.41	0.0	inf		2403123.92532749
2020-02-22	Namibia	0.00037773332886954477	113.66	0.0	inf		2403123.92532749
2020-02-23	Namibia	0.0004295034430483405	130.84	0.0	inf		2403123.92532749
2020-02-24	Namibia	0.0004769250507311277	136.56	0.0	inf		2403123.92532749
2020-02-25	Namibia	0.000517755238041018	139.43	0.0	inf		2403123.92532749
2020-02-26	Namibia	0.0005473916622176422	140.39	0.0	inf		2403123.92532749
2020-02-27	Namibia	0.0005686639734210827	140.74	0.0	inf		2403123.92532749
2020-02-28	Namibia	0.0006031690603731424	140.95	0.0	inf		2403123.92532749
2020-02-29	Namibia	0.0006655586851527168	141.14	0.0	inf		2403123.92532749
2020-03-01	Namibia	0.0007919108873008523	141.33	0.0	inf		2403123.92532749
2020-03-02	Namibia	0.0009732332050588178	141.53	0.01	inf		2403123.92532749
2020-03-03	Namibia	0.0011637768533384622	196.58	0.02	inf		2403123.92532749
2020-03-04	Namibia	0.0013515158189594371	280.77	0.03	inf		2403123.92532749
2020-03-05	Namibia	0.0015438363210896037	440.2	0.04	inf		2403123.92532749
2020-03-06	Namibia	0.0017529599516703754	575.17	0.06	inf		2403123.92532749
2020-03-07	Namibia	0.0019776050456292446	598.29	0.06	inf		2403123.92532749
2020-03-08	Namibia	0.002210377061297878	591.9	0.07	inf		2403123.92532749
2020-03-09	Namibia	0.0024244733859099706	603.12	0.07	inf		2403123.92532749
2020-03-10	Namibia	0.0026064323749539547	643.69	0.07	inf		2403123.92532749
2020-03-11	Namibia	0.00272284751153992	681.18	0.07	inf		2403123.92532749
2020-03-12	Namibia	0.0027834519599685007	700.91	0.08	inf		2403123.92532749
2020-03-13	Namibia	0.0028300329951037343	711.08	0.08	inf		2403123.92532749
2020-03-14	Namibia	0.0028708257311615055	718.04	0.08	inf	2.0	2403123.92532749
2020-03-15	Namibia	0.002902738359216902	719.96	0.09	inf	0.0	2403123.92532749
2020-03-16	Namibia	0.002914289989870413	720.81	0.09	1.22	0.0	2403123.92532749
2020-03-17	Namibia	0.0029028715192244356	710.23	0.22	1.17	0.0	2403123.92532749
2020-03-18	Namibia	0.0028732475787985176	689.93	0.32	1.09	0.0	2403123.92532749
2020-03-19	Namibia	0.002825268363584184	679.81	0.17	1.03	1.0	2403123.92532749
2020-03-20	Namibia	0.0027577812072662267	671.45	0.24	0.98	0.0	2403123.92532749
2020-03-21	Namibia	0.0026730248624712975	653.74	0.53	0.94	0.0	2403123.92532749
2020-03-22	Namibia	0.002571028457951045	629.72	0.74	0.89	0.0	2403123.92532749
