date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	Nevada	2.0960959489376293e-05	13.17	0.69	0.99		3215024.58101479
2020-02-05	Nevada	2.596558685521788e-05	13.16	0.69	0.99		3215024.58101479
2020-02-06	Nevada	3.157363106939587e-05	13.14	0.69	0.99		3215024.58101479
2020-02-07	Nevada	3.818944362821815e-05	13.4	0.69	1.01		3215024.58101479
2020-02-08	Nevada	4.588456364256998e-05	14.52	0.69	1.1		3215024.58101479
2020-02-09	Nevada	5.4475477741050065e-05	16.09	0.69	1.22		3215024.58101479
2020-02-10	Nevada	5.989689818770132e-05	18.03	0.69	1.37		3215024.58101479
2020-02-11	Nevada	6.606170330833403e-05	21.27	0.69	1.62		3215024.58101479
2020-02-12	Nevada	7.28143732966759e-05	24.74	0.69	1.88		3215024.58101479
2020-02-13	Nevada	8.022955765973765e-05	27.62	0.69	2.1		3215024.58101479
2020-02-14	Nevada	8.830414600139381e-05	30.6	0.69	2.3		3215024.58101479
2020-02-15	Nevada	9.729630120005635e-05	32.98	0.69	2.39		3215024.58101479
2020-02-16	Nevada	0.00010761970594040951	34.85	0.69	2.4		3215024.58101479
2020-02-17	Nevada	0.00011952319191248893	37.24	0.69	2.41		3215024.58101479
2020-02-18	Nevada	0.00013357596160725106	40.48	0.69	2.33		3215024.58101479
2020-02-19	Nevada	0.0001505618348483082	45.0	0.68	2.22		3215024.58101479
2020-02-20	Nevada	0.00017126152106314706	51.22	0.68	2.14		3215024.58101479
2020-02-21	Nevada	0.00019625666432722597	59.54	0.77	2.13		3215024.58101479
2020-02-22	Nevada	0.00022584897306471315	69.92	0.93	2.23		3215024.58101479
2020-02-23	Nevada	0.00026027794777726786	82.23	1.09	2.43		3215024.58101479
2020-02-24	Nevada	0.00029939117905474334	97.15	1.28	2.69		3215024.58101479
2020-02-25	Nevada	0.00034306425105212166	113.34	1.5	2.92		3215024.58101479
2020-02-26	Nevada	0.00039136248208803727	129.99	1.65	3.07		3215024.58101479
2020-02-27	Nevada	0.00044408680681046143	147.93	1.74	3.15		3215024.58101479
2020-02-28	Nevada	0.0005013149851225307	166.23	1.83	3.13		3215024.58101479
2020-02-29	Nevada	0.0005631963160382662	185.41	1.96	3.03		3215024.58101479
2020-03-01	Nevada	0.0006290558435984463	206.5	2.16	2.89		3215024.58101479
2020-03-02	Nevada	0.0006991703930582357	229.05	2.44	2.74		3215024.58101479
2020-03-03	Nevada	0.0007744170961250097	253.91	2.83	2.57		3215024.58101479
2020-03-04	Nevada	0.0008548021735910197	281.18	3.37	2.43		3215024.58101479
2020-03-05	Nevada	0.0009408450616092147	308.89	4.13	2.32		3215024.58101479
2020-03-06	Nevada	0.0010327634879083762	338.76	5.15	2.24	2.0	3215024.58101479
2020-03-07	Nevada	0.0011297331975152606	371.91	6.3	2.18	1.0	3215024.58101479
2020-03-08	Nevada	0.0012308957210992455	406.37	7.73	2.13	0.5	3215024.58101479
2020-03-09	Nevada	0.0013346958605976083	442.86	1.46	2.09	0.5	3215024.58101479
2020-03-10	Nevada	0.0014394819956677367	480.93	2.17	2.05	2.0	3215024.58101479
2020-03-11	Nevada	0.001544115721327719	518.26	3.53	2.0	2.0	3215024.58101479
2020-03-12	Nevada	0.0016462704612757212	554.29	5.07	1.95	3.0	3215024.58101479
2020-03-13	Nevada	0.0017433552555392473	587.63	7.14	1.88	10.0	3215024.58101479
2020-03-14	Nevada	0.0018333048010910017	618.07	8.96	1.8	12.0	3215024.58101479
2020-03-15	Nevada	0.0019140444637153124	645.29	9.67	1.72	11.0	3215024.58101479
2020-03-16	Nevada	0.0019841247988177215	667.19	11.32	1.62	19.0	3215024.58101479
2020-03-17	Nevada	0.0020424260637930693	684.04	12.6	1.53	9.0	3215024.58101479
2020-03-18	Nevada	0.0020893588309299146	695.56	12.67	1.43	5.0	3215024.58101479
2020-03-19	Nevada	0.0021273398780177278	702.44	14.24	1.34	23.0	3215024.58101479
2020-03-20	Nevada	0.002158266546693031	706.24	16.82	1.26	8.0	3215024.58101479
2020-03-21	Nevada	0.002184362770185518	705.7	23.67	1.19	15.0	3215024.58101479
2020-03-22	Nevada	0.002208502554515099	705.18	32.03	1.13	30.0	3215024.58101479
2020-03-23	Nevada	0.0022320140388273403	709.74	40.17	1.09	36.0	3215024.58101479
2020-03-24	Nevada	0.0022557308092838613	717.5	53.24	1.07	88.0	3215024.58101479
2020-03-25	Nevada	0.002279873704009568	729.19	65.96	1.06	43.0	3215024.58101479
2020-03-26	Nevada	0.002303326090795426	744.8	77.24	1.07	99.0	3215024.58101479
2020-03-27	Nevada	0.002325316591402325	759.63	99.32	1.08	115.0	3215024.58101479
2020-03-28	Nevada	0.002344681917679348	771.81	117.24	1.09	86.0	3215024.58101479
2020-03-29	Nevada	0.0023588155576733717	780.06	128.1	1.11	117.0	3215024.58101479
2020-03-30	Nevada	0.0023655340133043336	781.64	142.6	1.11	258.0	3215024.58101479
2020-03-31	Nevada	0.002364246309308399	776.4	144.1	1.09	117.0	3215024.58101479
2020-04-01	Nevada	0.0023546445164691495	767.44	150.03	1.06	166.0	3215024.58101479
2020-04-02	Nevada	0.0023368592714238527	755.18	158.53	1.03	179.0	3215024.58101479
2020-04-03	Nevada	0.002313276248000726	739.1	146.82	0.99	56.0	3215024.58101479
2020-04-04	Nevada	0.00228718624530049	725.05	137.96	0.95	228.0	3215024.58101479
2020-04-05	Nevada	0.0022614508277585556	713.93	143.82	0.92	94.0	3215024.58101479
2020-04-06	Nevada	0.002238710721685424	702.45	145.53	0.9	117.0	3215024.58101479
2020-04-07	Nevada	0.002219028135003606	695.99	147.74	0.89	134.0	3215024.58101479
2020-04-08	Nevada	0.0022010344934179043	696.18	144.89	0.9	231.0	3215024.58101479
2020-04-09	Nevada	0.0021841761464179905	698.9	139.89	0.92	138.0	3215024.58101479
2020-04-10	Nevada	0.0021658216988817377	703.29	144.17	0.94	128.0	3215024.58101479
2020-04-11	Nevada	0.002143461061135911	704.16	144.24	0.96	116.0	3215024.58101479
2020-04-12	Nevada	0.0021175545718070767	697.33	135.32	0.97	136.0	3215024.58101479
2020-04-13	Nevada	0.0020874552685011417	684.9	125.6	0.96	135.0	3215024.58101479
2020-04-14	Nevada	0.002052130499704459	666.04	128.96	0.95	117.0	3215024.58101479
2020-04-15	Nevada	0.0020125569298004176	642.04	133.32	0.92	123.0	3215024.58101479
2020-04-16	Nevada	0.0019692913196954725	619.16	129.89	0.89	110.0	3215024.58101479
2020-04-17	Nevada	0.0019232325738698776	599.22	125.1	0.86	203.0	3215024.58101479
2020-04-18	Nevada	0.0018761038517771294	582.61	122.03	0.83	102.0	3215024.58101479
2020-04-19	Nevada	0.0018283934856089233	571.67	122.82	0.82	102.0	3215024.58101479
2020-04-20	Nevada	0.0017807484377593513	564.19	125.53	0.82	102.0	3215024.58101479
2020-04-21	Nevada	0.0017343506587560826	556.08	125.82	0.82	107.0	3215024.58101479
2020-04-22	Nevada	0.001689523629796164	545.81	127.67	0.83	144.0	3215024.58101479
2020-04-23	Nevada	0.0016468676573318066	531.51	127.67	0.84	127.0	3215024.58101479
2020-04-24	Nevada	0.0016073594057463996	512.86	123.89	0.84	190.0	3215024.58101479
2020-04-25	Nevada	0.001571375232971122	492.87	123.46	0.83	141.0	3215024.58101479
2020-04-26	Nevada	0.0015399291281428694	475.04	120.39	0.82	63.0	3215024.58101479
2020-04-27	Nevada	0.0015151050566656902	462.08	114.82	0.81	88.0	3215024.58101479
