date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	Saudi Arabia	4.6454194613269045e-06	4.07	0.0	inf		35731972.4046162
2020-02-05	Saudi Arabia	7.117994974359208e-06	17.58	0.0	inf		35731972.4046162
2020-02-06	Saudi Arabia	1.0130143276200372e-05	29.0	0.0	inf		35731972.4046162
2020-02-07	Saudi Arabia	1.3525981564274393e-05	45.6	0.0	inf		35731972.4046162
2020-02-08	Saudi Arabia	1.7057272772360593e-05	69.74	0.0	inf		35731972.4046162
2020-02-09	Saudi Arabia	2.0655730717642923e-05	88.35	0.0	inf		35731972.4046162
2020-02-10	Saudi Arabia	2.416099481506563e-05	107.63	0.0	inf		35731972.4046162
2020-02-11	Saudi Arabia	2.72960022736947e-05	121.34	0.0	inf		35731972.4046162
2020-02-12	Saudi Arabia	3.011644551312193e-05	126.18	0.0	inf		35731972.4046162
2020-02-13	Saudi Arabia	3.2476796602755716e-05	128.58	0.0	inf		35731972.4046162
2020-02-14	Saudi Arabia	3.41663199046432e-05	129.32	0.0	inf		35731972.4046162
2020-02-15	Saudi Arabia	3.533977877574048e-05	129.6	0.0	inf		35731972.4046162
2020-02-16	Saudi Arabia	3.684795188719843e-05	129.78	0.0	inf		35731972.4046162
2020-02-17	Saudi Arabia	3.993790165962512e-05	129.94	0.0	inf		35731972.4046162
2020-02-18	Saudi Arabia	4.347283106597611e-05	130.11	0.0	inf		35731972.4046162
2020-02-19	Saudi Arabia	4.6800103309829074e-05	130.28	0.02	inf		35731972.4046162
2020-02-20	Saudi Arabia	5.0858653404904855e-05	161.52	0.04	1.28		35731972.4046162
2020-02-21	Saudi Arabia	5.51030314728899e-05	231.75	0.06	1.8		35731972.4046162
2020-02-22	Saudi Arabia	6.035463073741183e-05	252.49	0.08	1.93		35731972.4046162
2020-02-23	Saudi Arabia	6.791788520710032e-05	247.47	0.11	1.89		35731972.4046162
2020-02-24	Saudi Arabia	7.741722087646711e-05	274.34	0.12	2.1		35731972.4046162
2020-02-25	Saudi Arabia	8.870067300260592e-05	281.26	0.13	2.15		35731972.4046162
2020-02-26	Saudi Arabia	0.00010120851877554907	317.43	0.15	2.4		35731972.4046162
2020-02-27	Saudi Arabia	0.00011391590573024571	400.19	0.16	2.9		35731972.4046162
2020-02-28	Saudi Arabia	0.00012858652044090406	469.54	0.18	2.84		35731972.4046162
2020-02-29	Saudi Arabia	0.00014675036520857079	533.46	0.21	2.71		35731972.4046162
2020-03-01	Saudi Arabia	0.0001678533144513779	608.45	0.24	2.83		35731972.4046162
2020-03-02	Saudi Arabia	0.0001928589309866848	685.81	0.27	3.08	1.0	35731972.4046162
2020-03-03	Saudi Arabia	0.00022126346428552048	776.7	0.32	3.18	0.0	35731972.4046162
2020-03-04	Saudi Arabia	0.00025162982603329305	896.5	0.36	3.15	0.0	35731972.4046162
2020-03-05	Saudi Arabia	0.00028452529529790455	1028.39	1.06	3.15	4.0	35731972.4046162
2020-03-06	Saudi Arabia	0.0003194620736504683	1174.76	1.82	3.01	0.0	35731972.4046162
2020-03-07	Saudi Arabia	0.0003546817918834707	1332.38	2.39	2.9	0.0	35731972.4046162
2020-03-08	Saudi Arabia	0.0003893448657819602	1485.24	2.82	2.8	6.0	35731972.4046162
2020-03-09	Saudi Arabia	0.00042245414915997946	1644.96	4.32	2.73	4.0	35731972.4046162
2020-03-10	Saudi Arabia	0.0004529624006400788	1781.82	8.67	2.61	5.0	35731972.4046162
2020-03-11	Saudi Arabia	0.0004807862215235729	1866.92	12.82	2.43	1.0	35731972.4046162
2020-03-12	Saudi Arabia	0.0005056020920263008	1924.39	13.6	2.2	24.0	35731972.4046162
2020-03-13	Saudi Arabia	0.0005276291436283646	1959.76	13.96	1.94	41.0	35731972.4046162
2020-03-14	Saudi Arabia	0.000547479992945274	1986.62	18.17	1.7	17.0	35731972.4046162
