date	location_name	proportion	inf_mean	cases_mean	reff_mean	daily_cases	population
2020-02-04	South Africa	1.5452857449813215e-07	0.0	0.0			55588424.5221186
2020-02-05	South Africa	3.419776718520945e-07	0.0	0.0			55588424.5221186
2020-02-06	South Africa	6.542729050636864e-07	0.0	0.0			55588424.5221186
2020-02-07	South Africa	1.1565357455744953e-06	2.17	0.0	inf		55588424.5221186
2020-02-08	South Africa	1.7964171652367258e-06	6.42	0.0	inf		55588424.5221186
2020-02-09	South Africa	2.574816631887969e-06	10.42	0.0	inf		55588424.5221186
2020-02-10	South Africa	3.4741045759114414e-06	17.36	0.0	inf		55588424.5221186
2020-02-11	South Africa	4.420344741057163e-06	27.92	0.0	inf		55588424.5221186
2020-02-12	South Africa	5.387092772899959e-06	35.57	0.0	inf		55588424.5221186
2020-02-13	South Africa	6.322539323994591e-06	43.27	0.0	inf		55588424.5221186
2020-02-14	South Africa	7.184229512406759e-06	49.99	0.0	inf		55588424.5221186
2020-02-15	South Africa	7.975581315919312e-06	52.6	0.0	inf		55588424.5221186
2020-02-16	South Africa	8.643526132114382e-06	53.74	0.0	inf		55588424.5221186
2020-02-17	South Africa	9.123122383117899e-06	54.17	0.0	inf		55588424.5221186
2020-02-18	South Africa	9.466719097077656e-06	54.32	0.0	inf		55588424.5221186
2020-02-19	South Africa	9.698601905608613e-06	54.41	0.0	inf		55588424.5221186
2020-02-20	South Africa	9.88964887431294e-06	54.49	0.0	inf		55588424.5221186
2020-02-21	South Africa	1.0147616250134035e-05	54.58	0.0	inf		55588424.5221186
2020-02-22	South Africa	1.0538345078783563e-05	54.67	0.64	inf		55588424.5221186
2020-02-23	South Africa	1.1170670968610028e-05	56.16	1.2	1.07		55588424.5221186
2020-02-24	South Africa	1.2118889962998451e-05	60.61	1.7	1.14		55588424.5221186
2020-02-25	South Africa	1.3427255879558304e-05	66.94	2.36	inf		55588424.5221186
2020-02-26	South Africa	1.5160170615461108e-05	75.46	3.24	inf		55588424.5221186
2020-02-27	South Africa	1.7449136368562657e-05	89.32	3.37	inf		55588424.5221186
2020-02-28	South Africa	2.0425475443151247e-05	107.03	3.41	inf		55588424.5221186
2020-02-29	South Africa	2.4131103040458605e-05	127.14	3.42	inf		55588424.5221186
2020-03-01	South Africa	2.858059053945372e-05	150.82	3.42	inf		55588424.5221186
2020-03-02	South Africa	3.381675260920591e-05	181.82	3.43	inf		55588424.5221186
2020-03-03	South Africa	3.9996996121293606e-05	220.12	3.43	inf		55588424.5221186
2020-03-04	South Africa	4.738990217202147e-05	262.15	3.44	inf		55588424.5221186
2020-03-05	South Africa	5.626243281558652e-05	307.95	3.44	inf	1.0	55588424.5221186
2020-03-06	South Africa	6.69957825215598e-05	358.01	3.45	inf	0.0	55588424.5221186
